dataset,metric,delta,source_groups,generator_cells
comgenvid,auc,0.01988116378390986,2487.0,2.0
comgenvid,ap_real,0.024327716775755126,2487.0,2.0
genvideo,auc,0.030879575930312386,8365.0,10.0
genvideo,ap_real,0.030834669779743064,8365.0,10.0
videofeedback,auc,0.06498728861268481,3514.0,11.0
videofeedback,ap_real,0.06471081540678353,3514.0,11.0
Macro-3,auc,0.03858267610896902,,
Macro-3,ap_real,0.03995773398742724,,
Average,auc,0.04623557659175984,,
Average,ap_real,0.0464704826445026,,
