family,config,base_config,macro_auc,macro_ap,delta_macro_ap,worst_dataset_ap_delta,generator_non_decline_count,generator_total,macro_ap_ci95_low,macro_ap_ci95_high,passes_macro_ap,passes_worst_dataset,passes_generator_count,passes_bootstrap,admitted,triggers_beta
multiscale,MS1,MS0,0.868707843522199,0.8695433928795783,-0.0001294806871574572,-0.002067008173082252,12,20,-0.0016209859041944,0.0011948120325102,False,True,True,False,False,False
multiscale,MS2,MS0,0.8670944517135294,0.8664346672681033,-0.0032382062986324733,-0.012317881819933874,9,20,-0.0041389291594583,-0.0021480012575901,False,False,False,False,False,False
multiscale,MS3,MS0,0.868509230373458,0.868692921932236,-0.0009799516344997095,-0.004650457199870894,9,20,-0.0019278307528457,8.119479992197933e-05,False,False,False,False,False,False
multiscale,MS4,MS0,0.8673810161168363,0.8672320993750949,-0.0024407741916407932,-0.008464520794799313,8,20,-0.0033814753807438,-0.0014601668732104,False,False,False,False,False,False
layer,H1,H0,0.8542261077239602,0.8513053061896629,-0.01836756737707279,-0.034698719884524776,6,20,-0.021989356564038,-0.0144884098479709,False,False,False,False,False,False
layer,H2,H0,0.8638391591383136,0.8611615699337536,-0.008511303632982137,-0.018339476363557816,8,20,-0.0115250021123283,-0.0053542712986797,False,False,False,False,False,False
layer,H3,H0,0.8676455355960973,0.8648439911673553,-0.004828882399380396,-0.013263166900355672,6,20,-0.0072136833954641,-0.0026871143226448,False,False,False,False,False,False
layer,H4,H0,0.8721386013183424,0.8698364678910835,0.00016359432434776,-0.0052854181118252574,9,20,-0.0017560140966659,0.0021652612317929,False,False,False,False,False,False
layer,H5,H0,0.8683712268083479,0.8648119294071783,-0.004860944159557401,-0.014241612552919669,9,20,-0.0071540960361531,-0.002356214767325,False,False,False,False,False,False
