config,n_baseline_false_negatives,mean_score,still_false_negative_at_0.5
MS0,411,0.6425437784860011,411
MS1,411,0.6486848977074124,386
MS2,411,0.6396237277680683,389
MS3,411,0.6441928652205202,380
MS4,411,0.6382110962612659,372
