variant,run_name,dataset,generator,auc,ap_real,tpr_at_0_1pct_fpr,tpr_at_1pct_fpr,fpr_at_95pct_tpr,n_real,n_fake
d0_unconditioned_d2,d0_unconditioned_d2,comgenvid,Sora,0.8853782916284554,0.8321205249990462,0.0,0.17882352941176471,0.4265033407572383,898,1700
d0_unconditioned_d2,d0_unconditioned_d2,comgenvid,VEO3,0.9132814751735885,0.8745071258013628,0.0,0.21764705882352942,0.35634743875278396,898,1700
d0_unconditioned_d2,d0_unconditioned_d2,genvideo,Crafter,0.840368902699015,0.9941359868004604,0.031914893617021274,0.13829787234042554,0.6667084168336673,7984,188
d0_unconditioned_d2,d0_unconditioned_d2,genvideo,Gen2,0.9395287858325346,0.9884888571464951,0.12246376811594203,0.37028985507246376,0.2835671342685371,7984,1380
d0_unconditioned_d2,d0_unconditioned_d2,genvideo,Lavie,0.8702254956341254,0.9692023911360348,0.08071428571428571,0.2357142857142857,0.5100200400801603,7984,1400
d0_unconditioned_d2,d0_unconditioned_d2,genvideo,ModelScope,0.8500611043515601,0.9828252990155928,0.06714285714285714,0.21428571428571427,0.5643787575150301,7984,700
d0_unconditioned_d2,d0_unconditioned_d2,genvideo,MorphStudio,0.8544474663612941,0.983147785137863,0.047142857142857146,0.18142857142857144,0.5417084168336673,7984,700
d0_unconditioned_d2,d0_unconditioned_d2,genvideo,Show_1,0.8611671557400515,0.9803826999193115,0.07,0.24714285714285714,0.6048346693386774,7984,700
d0_unconditioned_d2,d0_unconditioned_d2,genvideo,Sora,0.8753019431720583,0.9988124063473626,0.05357142857142857,0.26785714285714285,0.468687374749499,7984,56
d0_unconditioned_d2,d0_unconditioned_d2,genvideo,WildScrape,0.7761110813860731,0.9711322566094838,0.05048543689320388,0.20970873786407768,0.9020541082164328,7984,515
d0_unconditioned_d2,d0_unconditioned_d2,videofeedback,AnimateDiff,0.86407,0.9182685255392069,0.0,0.05,0.536,500,300
d0_unconditioned_d2,d0_unconditioned_d2,videofeedback,Fast-SVD,0.9170699999999999,0.9510270546649799,0.023333333333333334,0.20333333333333334,0.328,500,300
d0_unconditioned_d2,d0_unconditioned_d2,videofeedback,LVDM,0.90541,0.9459276266740234,0.0033333333333333335,0.07,0.314,500,300
d0_unconditioned_d2,d0_unconditioned_d2,videofeedback,LaVie-base,0.8389666666666666,0.8973743299348749,0.01,0.07666666666666666,0.58,500,300
d0_unconditioned_d2,d0_unconditioned_d2,videofeedback,ModelScope,0.8304333333333334,0.8846575885204434,0.013333333333333334,0.11333333333333333,0.58,500,300
d0_unconditioned_d2,d0_unconditioned_d2,videofeedback,Pika,0.8697966666666667,0.9266842697097591,0.03666666666666667,0.12333333333333334,0.396,500,300
d0_unconditioned_d2,d0_unconditioned_d2,videofeedback,SoRA-Clip,0.80533,0.86978124577623,0.06,0.13333333333333333,0.632,500,300
d0_unconditioned_d2,d0_unconditioned_d2,videofeedback,Text2Video-Zero,0.77146,0.8340290622593047,0.006666666666666667,0.03,0.684,500,300
d0_unconditioned_d2,d0_unconditioned_d2,videofeedback,VideoCrafter2,0.9360733333333333,0.9601906298767342,0.013333333333333334,0.2,0.238,500,300
d0_unconditioned_d2,d0_unconditioned_d2,videofeedback,ZeroScope-576w,0.8135466666666666,0.8907576252928693,0.023333333333333334,0.03666666666666667,0.54,500,300
d1_conditioned_d2,d1_conditioned_d2,comgenvid,Sora,0.877643783571335,0.8285967030832032,0.0,0.1776470588235294,0.42538975501113585,898,1700
d1_conditioned_d2,d1_conditioned_d2,comgenvid,VEO3,0.8943187475435608,0.849836723352203,0.0,0.18352941176470589,0.3975501113585746,898,1700
d1_conditioned_d2,d1_conditioned_d2,genvideo,Crafter,0.8443419418624483,0.9946348561234097,0.031914893617021274,0.1595744680851064,0.6509268537074149,7984,188
d1_conditioned_d2,d1_conditioned_d2,genvideo,Gen2,0.9295471377537686,0.9862122137138711,0.13478260869565217,0.3572463768115942,0.3221442885771543,7984,1380
d1_conditioned_d2,d1_conditioned_d2,genvideo,Lavie,0.8758369864729459,0.9711331507686717,0.08571428571428572,0.23714285714285716,0.5265531062124249,7984,1400
d1_conditioned_d2,d1_conditioned_d2,genvideo,ModelScope,0.8555675636988261,0.9838819928906577,0.07142857142857142,0.22285714285714286,0.562625250501002,7984,700
d1_conditioned_d2,d1_conditioned_d2,genvideo,MorphStudio,0.863489657887203,0.9846705115903029,0.06,0.18142857142857144,0.4924849699398798,7984,700
d1_conditioned_d2,d1_conditioned_d2,genvideo,Show_1,0.8590951545949042,0.980836784864811,0.08142857142857143,0.22428571428571428,0.6475450901803608,7984,700
d1_conditioned_d2,d1_conditioned_d2,genvideo,Sora,0.8713319496135128,0.998755302081143,0.05357142857142857,0.25,0.5437124248496994,7984,56
d1_conditioned_d2,d1_conditioned_d2,genvideo,WildScrape,0.7749191343852754,0.9741083951152096,0.06601941747572816,0.20776699029126214,0.8846442885771543,7984,515
d1_conditioned_d2,d1_conditioned_d2,videofeedback,AnimateDiff,0.84842,0.9106855898344245,0.0,0.03,0.464,500,300
d1_conditioned_d2,d1_conditioned_d2,videofeedback,Fast-SVD,0.8987666666666668,0.9386657787306845,0.0,0.17,0.366,500,300
d1_conditioned_d2,d1_conditioned_d2,videofeedback,LVDM,0.91091,0.9527573173139822,0.0,0.09,0.272,500,300
d1_conditioned_d2,d1_conditioned_d2,videofeedback,LaVie-base,0.8318633333333333,0.8951059740739217,0.0,0.03666666666666667,0.552,500,300
d1_conditioned_d2,d1_conditioned_d2,videofeedback,ModelScope,0.8416933333333333,0.9042751006204344,0.0,0.09333333333333334,0.516,500,300
d1_conditioned_d2,d1_conditioned_d2,videofeedback,Pika,0.83479,0.9041001182232931,0.0,0.1,0.49,500,300
d1_conditioned_d2,d1_conditioned_d2,videofeedback,SoRA-Clip,0.8028233333333333,0.8742580246951792,0.0,0.11333333333333333,0.614,500,300
d1_conditioned_d2,d1_conditioned_d2,videofeedback,Text2Video-Zero,0.8388599999999999,0.893965635636101,0.0,0.09,0.568,500,300
d1_conditioned_d2,d1_conditioned_d2,videofeedback,VideoCrafter2,0.9098966666666666,0.9465489872154753,0.0,0.07333333333333333,0.334,500,300
d1_conditioned_d2,d1_conditioned_d2,videofeedback,ZeroScope-576w,0.78335,0.8742752081461116,0.0,0.04,0.558,500,300
