variant,dataset,q33_speed,q67_speed
d1_conditioned_d2,comgenvid,1.860033392906189,3.7853624025980626
d1_conditioned_d2,genvideo,1.5002246300379436,3.479614973068237
d1_conditioned_d2,videofeedback,1.9564612706502278,3.776970624923706
d3_conditioned_geometry,comgenvid,1.860033392906189,3.7853624025980626
d3_conditioned_geometry,genvideo,1.5002246300379436,3.479614973068237
d3_conditioned_geometry,videofeedback,1.9564612706502278,3.776970624923706
