Generative Model,n_real,n_annotated,n_total,patch_final_score AUC,patch_final_score AP
Crafter,188.0,188.0,376.0,0.8012392485287461,0.7964993871325621
Gen2,1380.0,1380.0,2760.0,0.8697219596723379,0.8944415245502941
Lavie,1400.0,1400.0,2800.0,0.8113742346938775,0.8097157540063129
ModelScope,700.0,700.0,1400.0,0.81535,0.8199500188978376
MorphStudio,700.0,700.0,1400.0,0.776845918367347,0.7693320162088527
Show_1,700.0,700.0,1400.0,0.8053357142857143,0.8024131164378869
Sora,56.0,56.0,112.0,0.8386479591836734,0.8737613701024927
WildScrape,515.0,515.0,1030.0,0.7394099349608823,0.7076946370295354
Average,704.875,704.875,1409.75,0.8072406212115724,0.8092259780457218
