Generative Model,n_real,n_annotated,n_total,final_score AUC,final_score AP
Sora,1698.0,1698.0,3396.0,0.9088364888505982,0.9089123668698014
VEO3,1698.0,1698.0,3396.0,0.9307659118119981,0.9333056722549188
Average,1698.0,1698.0,3396.0,0.9198012003312981,0.9211090195623601
