Generative Model,n_real,n_annotated,n_total,patch_final_score AUC,patch_final_score AP
Sora,1698.0,1698.0,3396.0,0.8252903714062549,0.8360024809238349
VEO3,1698.0,1698.0,3396.0,0.8108803608763029,0.8151042458464983
Average,1698.0,1698.0,3396.0,0.8180853661412789,0.8255533633851666
