Generative Model,n_real,n_annotated,n_total,final_score AUC,final_score AP
Crafter,188.0,188.0,376.0,0.8307492077863285,0.8001706798423617
Gen2,1380.0,1380.0,2760.0,0.9065868515017853,0.9229016633127417
Lavie,1400.0,1400.0,2800.0,0.8592826530612245,0.8604199711664519
ModelScope,700.0,700.0,1400.0,0.8343489795918366,0.8393805161774688
MorphStudio,700.0,700.0,1400.0,0.8337632653061224,0.8392003368806195
Show_1,700.0,700.0,1400.0,0.8433469387755099,0.8283918037705862
Sora,56.0,56.0,112.0,0.8316326530612245,0.855859448039426
WildScrape,515.0,515.0,1030.0,0.7593929682345177,0.6797673965719542
Average,704.875,704.875,1409.75,0.8373879396648187,0.8282614769702012
