Generative Model,n_real,n_annotated,n_total,final_score AUC,final_score AP
Crafter,188.0,188.0,376.0,0.8002348347668629,0.7800229172078545
Gen2,1380.0,1380.0,2760.0,0.8731083280823355,0.883986211823218
Lavie,1400.0,1400.0,2800.0,0.8472724489795919,0.8423498927230442
ModelScope,700.0,700.0,1400.0,0.7763244897959183,0.777609477218053
MorphStudio,700.0,700.0,1400.0,0.8259489795918367,0.836052229750005
Show_1,700.0,700.0,1400.0,0.8178244897959184,0.8020084364176767
Sora,56.0,56.0,112.0,0.7050382653061225,0.7346438525283514
WildScrape,515.0,515.0,1030.0,0.723163351871053,0.6643840131750917
Average,704.875,704.875,1409.75,0.7961143985237049,0.7901321288554117
