Generative Model,n_real,n_annotated,n_total,patch_final_score AUC,patch_final_score AP
Sora,1698.0,1698.0,3396.0,0.848497019288264,0.8583861548306431
VEO3,1698.0,1698.0,3396.0,0.862621930324736,0.8650477658459643
Average,1698.0,1698.0,3396.0,0.8555594748065001,0.8617169603383037
