Generative Model,n_real,n_annotated,n_total,final_score AUC,final_score AP
Sora,1698.0,1698.0,3396.0,0.8393492101148583,0.8421312276534302
VEO3,1698.0,1698.0,3396.0,0.8670080230188361,0.8685682297718984
Average,1698.0,1698.0,3396.0,0.8531786165668471,0.8553497287126643
