scope,auc,real_positive_ap,fake_positive_ap,fake_tpr_at_0_1pct_real_fpr,fake_tpr_at_1pct_real_fpr,real_fpr_at_95pct_fake_tpr,variant
Average,0.8547326465011346,0.8567291867999082,0.8436886402250732,0.06521353574621287,0.204012633982241,0.49860601689450573,pooled_d2
Average,0.8103772686216835,0.808278793634866,0.8016779253975882,0.06376307207490635,0.17888152793491877,0.5816150327447763,pooled_d2_only
Average,0.8101889546719377,0.8073513051685356,0.8018809690892699,0.06623986470594223,0.1880579419286167,0.5825131274147992,pooled_d2_raw
Average,0.8687862419508444,0.8698531282385239,0.8589096208605392,0.06945814957493758,0.2054232678257953,0.4808164142953148,d1_anchor
Average,0.8234393624023649,0.8213273355957892,0.8157073885300123,0.05220472746768004,0.17667811096103278,0.5995977743061719,d1_anchor_only
Average,0.8233849150840021,0.8207959893051998,0.816414448424133,0.05664271747520169,0.19010197546070542,0.6008663235895586,d1_anchor_raw
Average,0.868902251268186,0.8700730451541849,0.8586420083611844,0.07554631133748331,0.2124417892736605,0.4809205496928337,d1_boot_17
Average,0.8222858902316684,0.8200969851546783,0.8145113247132055,0.043744318027764136,0.17108340920950185,0.5977498494747464,d1_boot_17_only
Average,0.8222025631244482,0.8195050910280299,0.8156825967483834,0.05157062727492065,0.18286927169251876,0.599163159673067,d1_boot_17_raw
Average,0.8685715905184247,0.8700457018370716,0.8590239836638265,0.07051519495744332,0.21303647552735602,0.4846636009972924,d1_boot_29
Average,0.8206070672118289,0.8192095595308819,0.8137396617337508,0.03263007909882575,0.17181399088946223,0.6079874941515261,d1_boot_29_only
Average,0.8203902246928908,0.8185403216274233,0.8136074176607507,0.048058239679801835,0.17495960407858105,0.6087354407819167,d1_boot_29_raw
Average,0.8648301114531366,0.8674559971867298,0.854300939674769,0.06754473943552576,0.18999214883340276,0.48453910193814576,d1_boot_43
Average,0.8113294438808952,0.8100642098068159,0.8014243686212655,0.059952241176512634,0.1530179125027419,0.6173533333112292,d1_boot_43_only
Average,0.8111958230454537,0.809612316871123,0.8020978559578976,0.06867611254098945,0.16371897402056954,0.6186980105299821,d1_boot_43_raw
Average,0.8728585732253239,0.8744647150916783,0.8626815654142609,0.07252825424484857,0.21308046715439058,0.47123292604855305,d1_boot_59
Average,0.8287250153085101,0.8272677495887463,0.8191834988199741,0.03617836637448721,0.1805310262549414,0.5947347832162618,d1_boot_59_only
Average,0.828707081602983,0.8266875276842914,0.8205838566860427,0.0483447192315728,0.18938695375777992,0.5958477921827564,d1_boot_59_raw
Average,0.8708007836400683,0.8719129047341418,0.8610562901004628,0.06812035907742796,0.20872364903723653,0.47873982630377143,d1_boot_71
Average,0.8232151687097713,0.8221168332026284,0.8145095323229642,0.0512520284029483,0.1451597417198772,0.5983064846005411,d1_boot_71_only
Average,0.8230495819774051,0.8215160525299342,0.8141791227868328,0.054381227574428814,0.15171667555844556,0.5998549404054504,d1_boot_71_raw
Average,0.8744719007139845,0.8770747547781038,0.8635602420846706,0.07580655484385825,0.2125054612849621,0.46270724674247815,d2_anchor
Average,0.8358892246050155,0.8371170207906765,0.8276873645678006,0.06371642398686403,0.1919674838392014,0.5641370258166565,d2_anchor_only
Average,0.8356330293104435,0.8364161332130475,0.8280617607930719,0.07183319840086645,0.2047927280732824,0.5659595253329327,d2_anchor_raw
Average,0.8589234174588922,0.8636251717309111,0.8489996863166706,0.10466305088190392,0.24782593619721904,0.4646301493055991,d2_diagonal
Average,0.7710685727545252,0.7748631759960215,0.7655852524345383,0.061711491228850446,0.18110209053199702,0.6348362788249992,d2_diagonal_only
Average,0.7706562946605423,0.7737906368306612,0.7659104956653184,0.0669699384586857,0.18583449412145836,0.6363003943076335,d2_diagonal_raw
Average,0.8758834140497319,0.8787660031262918,0.8648970258275126,0.08230247169612254,0.21324785178236372,0.45825290375806843,d2_source_balanced
Average,0.8344752311228403,0.835327065097751,0.8261782465912632,0.04367188055701993,0.19066830046874853,0.569333759298468,d2_source_balanced_only
Average,0.8342300931477592,0.8346233311993491,0.8267579673520005,0.06273891480769644,0.20275115420542789,0.5715274540634451,d2_source_balanced_raw
Average,0.8739947654854424,0.8766124186090526,0.8626102308163168,0.0808768963963581,0.22455360981444272,0.4635822526289401,d2_boot_17
Average,0.8330209345422764,0.8342639960057722,0.8251199912515202,0.053997769497236225,0.19982498297397175,0.5705323606494846,d2_boot_17_only
Average,0.8327198703060118,0.8334771181640669,0.8251564663898049,0.056410418855667534,0.2042735932958004,0.5725293476281901,d2_boot_17_raw
Average,0.8584437504117463,0.8630382096657526,0.8487463705607987,0.10239456659786499,0.2495979042255417,0.46869754303405126,d2_diag_boot_17
Average,0.7693388891784699,0.7734544370962965,0.7635038610578313,0.054313425650750556,0.1749857907403971,0.6341980425889927,d2_diag_boot_17_only
Average,0.7689023914916273,0.7722232902078341,0.7636836629374425,0.06205661798996359,0.17949375474981744,0.6356846257922419,d2_diag_boot_17_raw
Average,0.8743950055716491,0.8772199411562598,0.8637870846930035,0.0721148537329458,0.219018002815382,0.4628115603553997,d2_boot_29
Average,0.8333893840083224,0.835084942979624,0.8261036855208305,0.0659521742479006,0.19883386715046988,0.5749293872961861,d2_boot_29_only
Average,0.8330903329377622,0.8343845497569121,0.8260895728361612,0.0641804315207868,0.1989042577739073,0.5770517152780139,d2_boot_29_raw
Average,0.8594601236678187,0.8640868763454955,0.8497296075839932,0.10740874171423236,0.25152558923047935,0.4635653260424671,d2_diag_boot_29
Average,0.775567749505066,0.7784884862212095,0.7712401518254364,0.05914066769240949,0.18915853509526415,0.6292782636679196,d2_diag_boot_29_only
Average,0.7751488466485843,0.7774372210704777,0.7716110259001704,0.06808523529337235,0.19229851787479482,0.6315289632384865,d2_diag_boot_29_raw
Average,0.870598136480906,0.8749107337321534,0.858791191235248,0.07691764490236157,0.19336250976194005,0.45995987821073464,d2_boot_43
Average,0.8242852306319487,0.8268435508666508,0.8133813516422213,0.06802088698830569,0.17518224442089417,0.5781435894213566,d2_boot_43_only
Average,0.8239718851395793,0.8261163751967024,0.8139801704772821,0.07678550543613596,0.19022568411060004,0.5809203789828098,d2_boot_43_raw
Average,0.8586633104129785,0.8638477750029904,0.8480866403423231,0.10139006189038512,0.2426776972022403,0.46431566421606424,d2_diag_boot_43
Average,0.7673687013683413,0.7726101116922034,0.7607930667025796,0.058790364480131994,0.17166830476718534,0.638451608608387,d2_diag_boot_43_only
Average,0.7670380228639591,0.7714813074620568,0.7612422803155581,0.06504529273142397,0.1795176434635235,0.640509681314482,d2_diag_boot_43_raw
Average,0.8782552849291436,0.8813112083616437,0.8670243355571229,0.07997740138455714,0.21777936715403998,0.4523184940151556,d2_boot_59
Average,0.8406478708831492,0.8425856391392309,0.8311892808549963,0.05107296174578487,0.19458915936906374,0.5625620848264464,d2_boot_59_only
Average,0.8406648438347627,0.8420240131461907,0.8319179019103276,0.06043369799346323,0.20452490594664405,0.5631662872541369,d2_boot_59_raw
Average,0.8591401082073656,0.8638596919552975,0.8488167989145565,0.09509793966287444,0.2438545748911701,0.46759775892655925,d2_diag_boot_59
Average,0.7651231452212338,0.7698821902125372,0.7569611744010315,0.04448640619369665,0.1436382184252454,0.642841719332053,d2_diag_boot_59_only
Average,0.7647519810696104,0.7688393539313205,0.7573682198054588,0.04797491027499695,0.14632961146596704,0.6441956839026292,d2_diag_boot_59_raw
Average,0.8762233651667408,0.8788708800916399,0.8656798331856189,0.07973718730249015,0.22088323570759302,0.4594659867821648,d2_boot_71
Average,0.8350083704956077,0.8375471676593977,0.8247676990595182,0.05596439977094499,0.17005247332075946,0.5647280667174641,d2_boot_71_only
Average,0.834793041931596,0.8368907146482684,0.8253229212267414,0.06389714219943875,0.17914236555888663,0.567182287724242,d2_boot_71_raw
Average,0.8583407867952794,0.8629465210173191,0.8484251084202343,0.0902773221628521,0.24759458373302642,0.4703800227737767,d2_diag_boot_71
Average,0.7622130519095435,0.7676544392922455,0.75269575229742,0.031547417681098804,0.13587329055352007,0.6436819979838179,d2_diag_boot_71_only
Average,0.761825254752762,0.7665132513281355,0.7529427370097848,0.036046939643794684,0.13832845941862923,0.6455847662092257,d2_diag_boot_71_raw
Average,0.7766426866982089,0.8161488560496761,0.7483843084852632,0.10263949725090678,0.1799518299108065,0.5185649636290938,ttr
Average,0.5438072688117935,0.5935664195339171,0.5676273053797667,0.016909906574085448,0.03699557886874675,0.7848889396238502,ttr_only
Average,0.5435194701450076,0.5931174784197365,0.5679182946430479,0.020617012052585648,0.03907645888184962,0.7854792862149157,ttr_raw
Average,0.6649302988259826,0.7324371447104286,0.5961412396769146,0.006424044041512474,0.014395488417475531,0.6617374992512313,lsmi
Average,0.33079185846428344,0.4321783049587433,0.40182768697317955,0.0003899966656028012,0.0016110669714957482,0.9416979657904855,lsmi_only
Average,0.33158501695831916,0.4323578315251992,0.4025128009859082,0.0003899966656028012,0.0017342500215080665,0.9413854549170454,lsmi_raw
Average,0.7390681740686157,0.7891620433333681,0.7012309166940938,0.06816534043226118,0.12520096961419472,0.560694135595821,split
Average,0.4691910017317231,0.5424512068784924,0.508378796515379,0.0069673913124874975,0.017720968122204122,0.8394193297633774,split_only
Average,0.4667660318385291,0.5386049479564766,0.5069463295846539,0.006977068239178077,0.018311327651316434,0.84605930841747,split_raw
Average,0.8650295631479988,0.871736829622041,0.8491813519718406,0.05873464391785294,0.18395737837187542,0.48214278936133165,global_only
