dataset,auc,real_positive_ap,fake_positive_ap,fake_tpr_at_0_1pct_real_fpr,fake_tpr_at_1pct_real_fpr,real_fpr_at_95pct_fake_tpr,variant
comgenvid,0.9282661048308292,0.9342762064237297,0.9229389879532418,0.05902004454342985,0.30233853006681516,0.31681514476614697,pooled_d2
genvideo,0.8611091084875705,0.8513221553680161,0.8618718656070348,0.10983320053904644,0.2555831762969651,0.5265147979803758,pooled_d2
videofeedback,0.7748227261850041,0.7845891986079788,0.746255067114943,0.026787362156162356,0.05411619558294283,0.6524881079369943,pooled_d2
comgenvid,0.9202164795809544,0.9250132549767194,0.9141113886900449,0.043429844097995544,0.27561247216035634,0.33518930957683746,pooled_d2_only
genvideo,0.816030597534675,0.8070992174613736,0.8197506357700719,0.12540784055105567,0.22607519639693158,0.6315211580296367,pooled_d2_only
videofeedback,0.6948847287494208,0.6927239084665051,0.6711717517326476,0.02245153157566785,0.034956915247468315,0.7781346306278546,pooled_d2_only
comgenvid,0.9202279502581832,0.9251847501922271,0.9144161417558725,0.052895322939866374,0.28285077951002224,0.3346325167037862,pooled_d2_raw
genvideo,0.8149956718603603,0.8049410531103043,0.8192733308625421,0.12711097967114063,0.22898909413161075,0.6331335167512704,pooled_d2_raw
videofeedback,0.69534324189727,0.6919281122030755,0.671953434649395,0.01871329150681969,0.05233395214421706,0.7797733487893411,pooled_d2_raw
comgenvid,0.9111766558697625,0.916624167031538,0.9080431275253379,0.06124721603563475,0.2978841870824054,0.37360801781737196,d1_anchor
genvideo,0.8779246035919883,0.8650073424275435,0.8799548363638798,0.11617819450173075,0.26108080721294585,0.5013395019197855,d1_anchor
videofeedback,0.8172574663907824,0.8279278752564904,0.7887308986924001,0.030949038187447278,0.05730480918203473,0.5675017231487869,d1_anchor
comgenvid,0.8850458331059865,0.8862941440918619,0.8870378076468832,0.0757238307349666,0.2978841870824053,0.47884187082405344,d1_anchor_only
genvideo,0.8396890393768874,0.8281975113120426,0.8451415670773773,0.06695776179399307,0.21512664683570337,0.6220803966227914,d1_anchor_only
videofeedback,0.7455832147242205,0.7494903513834633,0.7149427908657768,0.013932589874080447,0.017023498964989538,0.6978710554716707,d1_anchor_only
comgenvid,0.8850600939479466,0.8865381707778336,0.8874003713152431,0.0757238307349666,0.3034521158129176,0.4782850779510022,d1_anchor_raw
genvideo,0.8391107988780118,0.8269478305407736,0.8456365671774908,0.07319573171944875,0.22707903652339093,0.6246105680835242,d1_anchor_raw
videofeedback,0.7459838524260477,0.7489019665969924,0.7162064067796652,0.021008589971189724,0.03977477404580773,0.6997033247341492,d1_anchor_raw
comgenvid,0.9125376362220425,0.9176909784819955,0.9098727491488585,0.07015590200445435,0.30902004454342985,0.3680400890868597,d1_boot_17
genvideo,0.881276522820001,0.8690692966130633,0.8829097596931673,0.1250248823186612,0.2713001608602682,0.4949369911375607,d1_boot_17
videofeedback,0.8128925947625144,0.823458860367496,0.7831435162415276,0.03145814968933435,0.057005162417283525,0.5797845688540808,d1_boot_17
comgenvid,0.8868467294309056,0.8862168880313093,0.8895662269346711,0.05400890868596882,0.27616926503340755,0.4760579064587973,d1_boot_17_only
genvideo,0.8483530155470633,0.8365198051902751,0.8542362913998776,0.06809993235719063,0.21267127423483437,0.5989171896376406,d1_boot_17_only
videofeedback,0.7316579257170368,0.7375542622424508,0.6997314558050678,0.00912411304013298,0.024409688360263714,0.7182744523278014,d1_boot_17_only
comgenvid,0.8868352587536769,0.8864154452090633,0.8900516642772205,0.066815144766147,0.28285077951002224,0.4755011135857461,d1_boot_17_raw
genvideo,0.8476822763657161,0.835365064845085,0.8541899959869423,0.06735429643773881,0.22586442384588185,0.6010868783446391,d1_boot_17_raw
videofeedback,0.7320901542539512,0.7367347630299416,0.7028061299809875,0.020542440620876148,0.03989261172165214,0.7209014870888154,d1_boot_17_raw
comgenvid,0.9073721112494482,0.9125627846891188,0.9045703193270973,0.047327394209354126,0.29287305122494434,0.38697104677060135,d1_boot_29
genvideo,0.8751638827655496,0.8643070201508598,0.8768559565123167,0.12621291157663403,0.27974099986144985,0.502960597933391,d1_boot_29
videofeedback,0.8231787775402765,0.8332673006712359,0.7956456751520652,0.0380052790863418,0.0664953754956738,0.5640591582878848,d1_boot_29
comgenvid,0.8754265851855894,0.8758464655099578,0.8778999354424326,0.016146993318485525,0.26614699331848557,0.49443207126948774,d1_boot_29_only
genvideo,0.8340165245383279,0.8246019497816185,0.8396576231456473,0.062224628729280605,0.19469593022597803,0.6343545420962042,d1_boot_29_only
videofeedback,0.7523780919115691,0.7571802633010695,0.7236614266131723,0.01951861524871113,0.054599049123923035,0.6951758690888865,d1_boot_29_only
comgenvid,0.8754383658811217,0.8760753919619164,0.8788737731140369,0.05902004454342984,0.26893095768374164,0.4927616926503341,d1_boot_29_raw
genvideo,0.8332468572494524,0.8230163216172715,0.8396963994382685,0.06537564934478321,0.20940061360083906,0.6378178170984176,d1_boot_29_raw
videofeedback,0.7524854509480985,0.7565292513030819,0.7222520804299468,0.01977902515119246,0.04654724095116242,0.6956268125969984,d1_boot_29_raw
comgenvid,0.9098702387388952,0.917216805442947,0.9051687131925794,0.06347438752783964,0.2594654788418708,0.3680400890868597,d1_boot_43
genvideo,0.8777624413851111,0.8658080620395282,0.8790668738751048,0.10805352241647129,0.24593827516477904,0.5044355327471731,d1_boot_43
videofeedback,0.8068576542354038,0.8193431240777145,0.7786672319566232,0.03110630836226633,0.06457269249355842,0.5811416839804043,d1_boot_43
comgenvid,0.8763445493821956,0.8770613088597021,0.8770160142053706,0.08908685968819599,0.24610244988864144,0.4977728285077951,d1_boot_43_only
genvideo,0.8368439719535349,0.8277673301196948,0.8405153297650273,0.08231622254355161,0.1893290756160401,0.6179119289977006,d1_boot_43_only
videofeedback,0.7207998103069552,0.7253639904410508,0.6867417618933987,0.008453641297790299,0.023622212003544172,0.736375242428192,d1_boot_43_only
comgenvid,0.8763752411942402,0.8772520766977431,0.8775014176029247,0.09855233853006681,0.24721603563474387,0.4977728285077951,d1_boot_43_raw
genvideo,0.8363171438048012,0.8266139300549608,0.8410018118108242,0.0890985887746659,0.2076671928688023,0.6193311582091935,d1_boot_43_raw
videofeedback,0.7208950841373197,0.7249709438606652,0.6877903384599435,0.01837741031823565,0.03627369355816246,0.7389900448729576,d1_boot_43_raw
comgenvid,0.9139643404546605,0.919794880911629,0.9106980483579266,0.06180400890868597,0.3045657015590201,0.35579064587973275,d1_boot_59
genvideo,0.8793826901991715,0.8673411506553877,0.8811400247937649,0.11696594026204328,0.2793174275068854,0.4999428064660546,d1_boot_59
videofeedback,0.8252286890221397,0.8362581137080181,0.7962066230910912,0.038814813563816476,0.055358272397266324,0.5579653257998717,d1_boot_59
comgenvid,0.8842376153888125,0.8844227391747913,0.8869381956500937,0.03953229398663697,0.30066815144766146,0.4832962138084632,d1_boot_59_only
genvideo,0.8425309773011527,0.8330817992719718,0.845095763958691,0.06548214397979987,0.21521177021106017,0.614294927303468,d1_boot_59_only
videofeedback,0.7594064532355653,0.7642987103194759,0.7255165368511374,0.0035206611570247934,0.0257131571061026,0.686613208536854,d1_boot_59_only
comgenvid,0.8842670671276432,0.8846595497621434,0.8876042179999727,0.05066815144766147,0.3012249443207127,0.48162583518930957,d1_boot_59_raw
genvideo,0.842091583561956,0.8317741229744176,0.8459492538425477,0.07405943947924543,0.2226896885952554,0.6174010594485384,d1_boot_59_raw
videofeedback,0.7597625941193497,0.7636289103163133,0.7281980982156081,0.020306566767811493,0.04424622835737166,0.6885164819104211,d1_boot_59_raw
comgenvid,0.9150308034186339,0.921248588374397,0.9117342773536985,0.06403118040089087,0.3151447661469933,0.3619153674832962,d1_boot_71
genvideo,0.8753779337620948,0.8620925295140042,0.8775530990605299,0.10874737210843981,0.24930623894140141,0.5134668846896991,d1_boot_71
videofeedback,0.8219936137394761,0.8323975963140241,0.7938814938871599,0.031582524722953205,0.061719942023314926,0.5608372267383189,d1_boot_71
comgenvid,0.8827234859946131,0.8864794646448036,0.8834588169926536,0.06959910913140312,0.22939866369710468,0.47717149220489974,d1_boot_71_only
genvideo,0.8352432383892376,0.8244139310754267,0.8387636723235022,0.06527710022127681,0.17730845217951632,0.6215779743993318,d1_boot_71_only
videofeedback,0.7516787817454632,0.7554571038876549,0.7213061076527368,0.018879875856164994,0.0287721092830106,0.6961699871973922,d1_boot_71_only
comgenvid,0.8827113952807775,0.8866851515364622,0.8837890394701848,0.0740534521158129,0.2299554565701559,0.4766146993318485,d1_boot_71_raw
genvideo,0.8346763280897237,0.8232448380181415,0.8385303872623109,0.06586015310419586,0.18728551169915597,0.6246292920137562,d1_boot_71_raw
videofeedback,0.7517610225617137,0.7546181680351988,0.7202179416280025,0.023230077503277668,0.03790905840602479,0.6983208298707464,d1_boot_71_raw
comgenvid,0.9167483048199165,0.9216015031022864,0.9138904949225257,0.07126948775055679,0.30734966592427615,0.35523385300668153,d2_anchor
genvideo,0.8819817822756818,0.8709639520946786,0.881437983059014,0.11808347472662983,0.2676156173080018,0.4864377116883126,d2_anchor
videofeedback,0.8246856150463554,0.8386588091373463,0.7953522482724721,0.03806670205438813,0.06255110062260831,0.5464501755324404,d2_anchor
comgenvid,0.8968671410360067,0.8972737863265313,0.899514529970886,0.10022271714922049,0.30902004454342985,0.45657015590200445,d2_anchor_only
genvideo,0.8511022063453693,0.8401292823149354,0.8553890155819058,0.07648163226204055,0.2469729306300143,0.5825793523997571,d2_anchor_only
videofeedback,0.7596983264336706,0.7739479937305628,0.7281585481506098,0.014444922549331064,0.019909476344160088,0.6532615691482079,d2_anchor_only
comgenvid,0.8968426495900317,0.8974641837820792,0.8996348552119823,0.10133630289532294,0.31124721603563477,0.455456570155902,d2_anchor_raw
genvideo,0.85031037203901,0.8387164307513386,0.8553337111303481,0.08289437896054795,0.25999761425426815,0.5864913097875459,d2_anchor_raw
videofeedback,0.7597460663022889,0.773067785105725,0.7292167160368855,0.03126891334672846,0.04313335392994425,0.6559306960553504,d2_anchor_raw
comgenvid,0.9288489392413728,0.9328914731127596,0.927854909565142,0.11748329621380846,0.37806236080178174,0.29955456570155903,d2_diagonal
genvideo,0.8879163946804329,0.8790062257789144,0.8847801312108858,0.10822953035399421,0.25900975643703794,0.4631623691390299,d2_diagonal
videofeedback,0.7600049184548708,0.7789778163010596,0.7343640181739837,0.08827632607790908,0.10640569135283755,0.6311735130762085,d2_diagonal
comgenvid,0.8702588900848705,0.8511108143522775,0.8784455411999676,0.08351893095768374,0.34521158129175944,0.5434298440979956,d2_diagonal_only
genvideo,0.8231121207753581,0.8189607913682568,0.8205889870584745,0.0887081014239576,0.17295422143830647,0.5918631014553231,d2_diagonal_only
videofeedback,0.6198347074033472,0.6545179222675302,0.5977212290451731,0.012907441304910007,0.025140468865925192,0.769215890921679,d2_diagonal_only
comgenvid,0.8702852416406665,0.8513962392060752,0.8787936497092665,0.09465478841870824,0.34910913140311806,0.5428730512249443,d2_diagonal_raw
genvideo,0.8226361066508648,0.8175769575728303,0.8213237314694549,0.09133930065042344,0.18066481092982223,0.5938638096915198,d2_diagonal_raw
