Generative Model,n_real,n_annotated,n_total,patch_final_score AUC,patch_final_score AP
Sora,1698.0,1698.0,3396.0,0.8820841327911588,0.89326469898031
VEO3,1698.0,1698.0,3396.0,0.8911381227273547,0.8964519018234325
Average,1698.0,1698.0,3396.0,0.8866111277592568,0.8948583004018713
