dataset,metric,delta,source_groups,generator_cells
comgenvid,auc,0.2786283302166161,2487.0,2.0
comgenvid,ap_real,0.19879625352984182,2487.0,2.0
genvideo,auc,0.2710140299955023,8365.0,10.0
genvideo,ap_real,0.20086073623439898,8365.0,10.0
videofeedback,auc,0.13736172864872997,3514.0,11.0
videofeedback,ap_real,0.08239562107833909,3514.0,11.0
Macro-3,auc,0.2290013629536161,,
Macro-3,ap_real,0.1606842036141933,,
Average,auc,0.207755477196708,,
Average,ap_real,0.1440239870115393,,
