selector,calibration_bank,evaluation_domain,auc,ap_real,n_calibration_real,n_evaluation_real,n_evaluation_fake,n_generators,calibration_score_mean,evaluation_real_score_mean,evaluation_fake_score_mean
uniform,vifbench_uniform,vifbench,0.6093249318015905,0.08276551279803987,80,85,1531,19,0.50625,0.28455882352941175,0.21515757674722405
feature_change,vifbench_feature_change,vifbench,0.6046912821300956,0.08258917284717658,80,85,1531,19,0.5055468750000001,0.2916911764705883,0.2204033311561071
random,vifbench_random,vifbench,0.6093518269489376,0.07845410385713694,80,85,1531,19,0.5057031249999999,0.2794117647058824,0.210842586544742
