dataset,tag,alpha,avg_auc,avg_ap,n_rows,global_real_mean,global_fake_mean,patch_real_mean,patch_fake_mean,corr_global_patch
videofeedback,same_grid_second_order,0.0,0.8228305796412172,0.8302462206519927,34410,0.26789254280414776,0.05063767156754854,0.5000473798044992,0.19431442626480505,0.5593872162471312
videofeedback,same_grid_second_order,0.05,0.8265861873908575,0.8353052774406627,34410,0.26789254280414776,0.05063767156754854,0.5000473798044992,0.19431442626480505,0.5593872162471312
videofeedback,same_grid_second_order,0.1,0.8303220354927028,0.8400426112310978,34410,0.26789254280414776,0.05063767156754854,0.5000473798044992,0.19431442626480505,0.5593872162471312
videofeedback,same_grid_second_order,0.15,0.8339806635949133,0.8444980011457812,34410,0.26789254280414776,0.05063767156754854,0.5000473798044992,0.19431442626480505,0.5593872162471312
videofeedback,same_grid_second_order,0.2,0.8376396090931614,0.8488430290483953,34410,0.26789254280414776,0.05063767156754854,0.5000473798044992,0.19431442626480505,0.5593872162471312
videofeedback,same_grid_second_order,0.25,0.841234976480638,0.8529762991356193,34410,0.26789254280414776,0.05063767156754854,0.5000473798044992,0.19431442626480505,0.5593872162471312
videofeedback,same_grid_second_order,0.3,0.8447263988279212,0.8568913907250149,34410,0.26789254280414776,0.05063767156754854,0.5000473798044992,0.19431442626480505,0.5593872162471312
videofeedback,same_grid_second_order,0.35,0.8481393533401193,0.860656028291627,34410,0.26789254280414776,0.05063767156754854,0.5000473798044992,0.19431442626480505,0.5593872162471312
videofeedback,same_grid_second_order,0.4,0.8514024354366283,0.8641178912000287,34410,0.26789254280414776,0.05063767156754854,0.5000473798044992,0.19431442626480505,0.5593872162471312
videofeedback,same_grid_second_order,0.45,0.8545465770350112,0.8673644554534556,34410,0.26789254280414776,0.05063767156754854,0.5000473798044992,0.19431442626480505,0.5593872162471312
videofeedback,same_grid_second_order,0.5,0.8575189554459947,0.8703116177239494,34410,0.26789254280414776,0.05063767156754854,0.5000473798044992,0.19431442626480505,0.5593872162471312
videofeedback,same_grid_second_order,0.55,0.8602670856274125,0.8728371264487833,34410,0.26789254280414776,0.05063767156754854,0.5000473798044992,0.19431442626480505,0.5593872162471312
videofeedback,same_grid_second_order,0.6,0.8627692428962348,0.8750296099404415,34410,0.26789254280414776,0.05063767156754854,0.5000473798044992,0.19431442626480505,0.5593872162471312
videofeedback,same_grid_second_order,0.65,0.8649806167854056,0.876759784455167,34410,0.26789254280414776,0.05063767156754854,0.5000473798044992,0.19431442626480505,0.5593872162471312
videofeedback,same_grid_second_order,0.7,0.8668018484318057,0.8779820521946391,34410,0.26789254280414776,0.05063767156754854,0.5000473798044992,0.19431442626480505,0.5593872162471312
videofeedback,same_grid_second_order,0.75,0.8680906125464942,0.8785569958379,34410,0.26789254280414776,0.05063767156754854,0.5000473798044992,0.19431442626480505,0.5593872162471312
videofeedback,same_grid_second_order,0.8,0.8686775225741161,0.878365502101623,34410,0.26789254280414776,0.05063767156754854,0.5000473798044992,0.19431442626480505,0.5593872162471312
videofeedback,same_grid_second_order,0.85,0.8681623888645958,0.8771175024643725,34410,0.26789254280414776,0.05063767156754854,0.5000473798044992,0.19431442626480505,0.5593872162471312
videofeedback,same_grid_second_order,0.9,0.8659836611355051,0.874518896881262,34410,0.26789254280414776,0.05063767156754854,0.5000473798044992,0.19431442626480505,0.5593872162471312
videofeedback,same_grid_second_order,0.95,0.860772143295265,0.8699109347052332,34410,0.26789254280414776,0.05063767156754854,0.5000473798044992,0.19431442626480505,0.5593872162471312
videofeedback,same_grid_second_order,1.0,0.8474886242099873,0.8613830195549669,34410,0.26789254280414776,0.05063767156754854,0.5000473798044992,0.19431442626480505,0.5593872162471312
