alpha,source_model,n_real,n_fake,n_total,auc,ap
0.25,VideoCrafter2,4080.0,4080.0,8160.0,0.8744054570357556,0.8941252179612522
0.25,ZeroScope-576w,2178.0,2178.0,4356.0,0.8839071067971644,0.8871018633581027
0.25,Average,2820.2,2820.2,5640.4,0.841234976480638,0.8529762991356193
0.3,AnimateDiff,1398.0,1398.0,2796.0,0.8456475733778687,0.8582974461336119
0.3,Fast-SVD,1000.0,1000.0,2000.0,0.888261,0.9070875146239141
0.3,LVDM,3172.0,3172.0,6344.0,0.8833343735936608,0.8941250815943199
0.3,LaVie-base,3214.0,3214.0,6428.0,0.8085247762879345,0.8212023135513282
0.3,ModelScope,4080.0,4080.0,8160.0,0.8541349480968858,0.8602955661794486
0.3,Pika,4080.0,4080.0,8160.0,0.8839329825067281,0.9020943628041159
0.3,SoRA-Clip,920.0,920.0,1840.0,0.8104631379962193,0.8126270759579775
0.3,Text2Video-Zero,4080.0,4080.0,8160.0,0.7093902585544021,0.7262949592476057
0.3,VideoCrafter2,4080.0,4080.0,8160.0,0.8793786043829297,0.8989589272617782
0.3,ZeroScope-576w,2178.0,2178.0,4356.0,0.8841963334825845,0.8879306598960479
0.3,Average,2820.2,2820.2,5640.4,0.8447263988279212,0.8568913907250149
0.35,AnimateDiff,1398.0,1398.0,2796.0,0.8493182576376226,0.8635477463528267
0.35,Fast-SVD,1000.0,1000.0,2000.0,0.8908659999999999,0.9084873045189433
0.35,LVDM,3172.0,3172.0,6344.0,0.8865000779201367,0.897745959905006
0.35,LaVie-base,3214.0,3214.0,6428.0,0.8128974667069901,0.8266010865892913
0.35,ModelScope,4080.0,4080.0,8160.0,0.8566384924067665,0.8631882116849988
0.35,Pika,4080.0,4080.0,8160.0,0.8851359453094962,0.9028626404434174
0.35,SoRA-Clip,920.0,920.0,1840.0,0.8138657844990548,0.8170027117259899
0.35,Text2Video-Zero,4080.0,4080.0,8160.0,0.7176550485390235,0.7350140874758193
0.35,VideoCrafter2,4080.0,4080.0,8160.0,0.8843762014609765,0.9037203093976168
0.35,ZeroScope-576w,2178.0,2178.0,4356.0,0.8841402589211255,0.8883902248223605
0.35,Average,2820.2,2820.2,5640.4,0.8481393533401193,0.860656028291627
0.4,AnimateDiff,1398.0,1398.0,2796.0,0.8528159991485895,0.8683795656307829
0.4,Fast-SVD,1000.0,1000.0,2000.0,0.8931840000000001,0.9095099373561809
0.4,LVDM,3172.0,3172.0,6344.0,0.8895376712056471,0.9011865519704729
0.4,LaVie-base,3214.0,3214.0,6428.0,0.817171316839171,0.8315917644900637
0.4,ModelScope,4080.0,4080.0,8160.0,0.8589863874471357,0.8658325440837751
0.4,Pika,4080.0,4080.0,8160.0,0.8860402249134949,0.9032238103381016
0.4,SoRA-Clip,920.0,920.0,1840.0,0.8170888468809074,0.8206862963790983
0.4,Text2Video-Zero,4080.0,4080.0,8160.0,0.7260604094579008,0.7438852290495508
0.4,VideoCrafter2,4080.0,4080.0,8160.0,0.8893913398692811,0.9084166126545756
0.4,ZeroScope-576w,2178.0,2178.0,4356.0,0.8837481586041565,0.8884666000476849
0.4,Average,2820.2,2820.2,5640.4,0.8514024354366283,0.8641178912000287
0.45,AnimateDiff,1398.0,1398.0,2796.0,0.856207826017548,0.8729121983191891
0.45,Fast-SVD,1000.0,1000.0,2000.0,0.8955470000000001,0.9104982394083307
0.45,LVDM,3172.0,3172.0,6344.0,0.8924811441220388,0.904497953989156
0.45,LaVie-base,3214.0,3214.0,6428.0,0.8213094430906476,0.8362452167032217
0.45,ModelScope,4080.0,4080.0,8160.0,0.8611463739907728,0.8681934292868917
0.45,Pika,4080.0,4080.0,8160.0,0.8866574154171473,0.9032084645757349
0.45,SoRA-Clip,920.0,920.0,1840.0,0.8201795841209831,0.8244356458660619
0.45,Text2Video-Zero,4080.0,4080.0,8160.0,0.734607783064206,0.752614845038653
0.45,VideoCrafter2,4080.0,4080.0,8160.0,0.8943865340253748,0.9130184894987897
0.45,ZeroScope-576w,2178.0,2178.0,4356.0,0.8829426665013943,0.8880200718485276
0.45,Average,2820.2,2820.2,5640.4,0.8545465770350112,0.8673644554534556
0.5,AnimateDiff,1398.0,1398.0,2796.0,0.8593724736543724,0.8770234660947174
0.5,Fast-SVD,1000.0,1000.0,2000.0,0.897723,0.9112039941717041
0.5,LVDM,3172.0,3172.0,6344.0,0.8952751375926494,0.9075957349316965
0.5,LaVie-base,3214.0,3214.0,6428.0,0.8253354664506444,0.8406864918717967
0.5,ModelScope,4080.0,4080.0,8160.0,0.8630635452710496,0.8702404254992083
0.5,Pika,4080.0,4080.0,8160.0,0.8869579008073818,0.9027107639384666
0.5,SoRA-Clip,920.0,920.0,1840.0,0.8231285444234404,0.8276247780920477
0.5,Text2Video-Zero,4080.0,4080.0,8160.0,0.743250973183391,0.7613942599702372
0.5,VideoCrafter2,4080.0,4080.0,8160.0,0.8994352532679739,0.9175907900415093
0.5,ZeroScope-576w,2178.0,2178.0,4356.0,0.881647259809043,0.8870454726281105
0.5,Average,2820.2,2820.2,5640.4,0.8575189554459947,0.8703116177239494
0.55,AnimateDiff,1398.0,1398.0,2796.0,0.8621180677075979,0.8802784088745392
0.55,Fast-SVD,1000.0,1000.0,2000.0,0.8997109999999999,0.9116197422973773
0.55,LVDM,3172.0,3172.0,6344.0,0.8978970905575108,0.9105042204473507
0.55,LaVie-base,3214.0,3214.0,6428.0,0.8291118236991321,0.8445937709086833
0.55,ModelScope,4080.0,4080.0,8160.0,0.8647055219146482,0.8719170972681303
0.55,Pika,4080.0,4080.0,8160.0,0.8868817281814687,0.9017325501241037
0.55,SoRA-Clip,920.0,920.0,1840.0,0.8260267013232514,0.8303710271085238
0.55,Text2Video-Zero,4080.0,4080.0,8160.0,0.7519297866205306,0.7698200991144524
0.55,VideoCrafter2,4080.0,4080.0,8160.0,0.9044868560169166,0.922058591489466
0.55,ZeroScope-576w,2178.0,2178.0,4356.0,0.8798022802530692,0.8854757568552064
0.55,Average,2820.2,2820.2,5640.4,0.8602670856274125,0.8728371264487833
0.6,AnimateDiff,1398.0,1398.0,2796.0,0.8647009523107811,0.8832627088045897
0.6,Fast-SVD,1000.0,1000.0,2000.0,0.9014270000000001,0.9116909447028934
0.6,LVDM,3172.0,3172.0,6344.0,0.9003692659128026,0.913245088596135
0.6,LaVie-base,3214.0,3214.0,6428.0,0.8326328032034708,0.8480272837833465
0.6,ModelScope,4080.0,4080.0,8160.0,0.8660551831026528,0.8732217189550036
0.6,Pika,4080.0,4080.0,8160.0,0.8862728878316033,0.9000630680071693
0.6,SoRA-Clip,920.0,920.0,1840.0,0.8286625708884688,0.8328073283169724
0.6,Text2Video-Zero,4080.0,4080.0,8160.0,0.7607197952710496,0.7782970449505653
0.6,VideoCrafter2,4080.0,4080.0,8160.0,0.9096249038831219,0.9265122828167115
0.6,ZeroScope-576w,2178.0,2178.0,4356.0,0.8772270665583962,0.8831686304710291
0.6,Average,2820.2,2820.2,5640.4,0.8627692428962348,0.8750296099404415
0.65,AnimateDiff,1398.0,1398.0,2796.0,0.8667169121635034,0.8853918406895072
0.65,Fast-SVD,1000.0,1000.0,2000.0,0.902894,0.9113356074482735
0.65,LVDM,3172.0,3172.0,6344.0,0.9025369166524873,0.9156395862079096
0.65,LaVie-base,3214.0,3214.0,6428.0,0.8359217355308856,0.8510249133660068
0.65,ModelScope,4080.0,4080.0,8160.0,0.8670024750096117,0.8739893910720707
0.65,Pika,4080.0,4080.0,8160.0,0.8851149798154556,0.89765963086371
0.65,SoRA-Clip,920.0,920.0,1840.0,0.8311200378071835,0.8348229453568745
0.65,Text2Video-Zero,4080.0,4080.0,8160.0,0.7696987937331796,0.786712554363156
0.65,VideoCrafter2,4080.0,4080.0,8160.0,0.9148266291810843,0.9308625793561693
0.65,ZeroScope-576w,2178.0,2178.0,4356.0,0.8739736879606652,0.8801587958279918
0.65,Average,2820.2,2820.2,5640.4,0.8649806167854056,0.876759784455167
0.7,AnimateDiff,1398.0,1398.0,2796.0,0.8682242770686102,0.886869435509109
0.7,Fast-SVD,1000.0,1000.0,2000.0,0.904008,0.910634894064132
0.7,LVDM,3172.0,3172.0,6344.0,0.9043500506480888,0.9176699892482821
0.7,LaVie-base,3214.0,3214.0,6428.0,0.838961388976123,0.8535771193806971
0.7,ModelScope,4080.0,4080.0,8160.0,0.8674289335832375,0.8742311471703147
0.7,Pika,4080.0,4080.0,8160.0,0.8831655493079585,0.8943508465816272
0.7,SoRA-Clip,920.0,920.0,1840.0,0.8334250945179584,0.8363782209708305
