dataset,metric,ci95_low,ci95_high
comgenvid,auc,-0.006277372877903127,-0.0001621050837370858
comgenvid,ap_real,-0.007037060056420921,-0.0009808003449138848
genvideo,auc,0.011675972227848682,0.0209305703442963
genvideo,ap_real,0.013778383801053323,0.02287508990464504
videofeedback,auc,0.0018432116578317205,0.004969993076639609
videofeedback,ap_real,0.0018690029655897924,0.004229515805738848
Macro-3,auc,0.003549813631507914,0.007494831735909561
Macro-3,ap_real,0.0038687597763517705,0.007664631324446005
Average,auc,0.006306516713089438,0.01065488169806391
Average,ap_real,0.007009954506217119,0.011126386561980846
