dataset,metric,delta,source_groups,generator_cells
comgenvid,auc,-0.0032000089285271205,2487.0,2.0
comgenvid,ap_real,-0.0038321103683298108,2487.0,2.0
genvideo,auc,0.016147379680641782,8365.0,10.0
genvideo,ap_real,0.018259280624329032,8365.0,10.0
videofeedback,auc,0.003466591622552049,3514.0,11.0
videofeedback,ap_real,0.003046814820764884,3514.0,11.0
Macro-3,auc,0.00547132079155557,,
Macro-3,ap_real,0.005824661692254702,,
Average,auc,0.008400273339018962,,
Average,ap_real,0.00906276297978454,,
