dataset,tag,alpha,avg_auc,avg_ap,n_rows,global_real_mean,global_fake_mean,patch_real_mean,patch_fake_mean,corr_global_patch
comgenvid,same_grid_second_order,0.0,0.9273219133991213,0.9309090778768746,5098,0.28707163693182713,0.06947102366376261,0.5001153923658592,0.083457042847213,0.698429074387502
comgenvid,same_grid_second_order,0.05,0.9282872457169178,0.93167656161035,5098,0.28707163693182713,0.06947102366376261,0.5001153923658592,0.083457042847213,0.698429074387502
comgenvid,same_grid_second_order,0.1,0.9289677386685091,0.9322446878076837,5098,0.28707163693182713,0.06947102366376261,0.5001153923658592,0.083457042847213,0.698429074387502
comgenvid,same_grid_second_order,0.15,0.9293884511813941,0.9325956558736186,5098,0.28707163693182713,0.06947102366376261,0.5001153923658592,0.083457042847213,0.698429074387502
comgenvid,same_grid_second_order,0.2,0.9295734883830626,0.9327065139202196,5098,0.28707163693182713,0.06947102366376261,0.5001153923658592,0.083457042847213,0.698429074387502
comgenvid,same_grid_second_order,0.25,0.9295372439827359,0.93255751343241,5098,0.28707163693182713,0.06947102366376261,0.5001153923658592,0.083457042847213,0.698429074387502
comgenvid,same_grid_second_order,0.3,0.9291727189612666,0.9321240192577422,5098,0.28707163693182713,0.06947102366376261,0.5001153923658592,0.083457042847213,0.698429074387502
comgenvid,same_grid_second_order,0.35,0.9285863920832518,0.9314425336920493,5098,0.28707163693182713,0.06947102366376261,0.5001153923658592,0.083457042847213,0.698429074387502
comgenvid,same_grid_second_order,0.4,0.9276939821115676,0.9303960632810393,5098,0.28707163693182713,0.06947102366376261,0.5001153923658592,0.083457042847213,0.698429074387502
comgenvid,same_grid_second_order,0.45,0.9264025368999211,0.928928138974229,5098,0.28707163693182713,0.06947102366376261,0.5001153923658592,0.083457042847213,0.698429074387502
comgenvid,same_grid_second_order,0.5,0.9247165653210803,0.926969296214593,5098,0.28707163693182713,0.06947102366376261,0.5001153923658592,0.083457042847213,0.698429074387502
comgenvid,same_grid_second_order,0.55,0.9225171025012451,0.9243857987917931,5098,0.28707163693182713,0.06947102366376261,0.5001153923658592,0.083457042847213,0.698429074387502
comgenvid,same_grid_second_order,0.6,0.9198012003312981,0.9211090195623601,5098,0.28707163693182713,0.06947102366376261,0.5001153923658592,0.083457042847213,0.698429074387502
comgenvid,same_grid_second_order,0.65,0.9163994292460749,0.9170500097507508,5098,0.28707163693182713,0.06947102366376261,0.5001153923658592,0.083457042847213,0.698429074387502
comgenvid,same_grid_second_order,0.7,0.9122637524087784,0.9121269408338002,5098,0.28707163693182713,0.06947102366376261,0.5001153923658592,0.083457042847213,0.698429074387502
comgenvid,same_grid_second_order,0.75,0.9071336957079692,0.9060981364224628,5098,0.28707163693182713,0.06947102366376261,0.5001153923658592,0.083457042847213,0.698429074387502
comgenvid,same_grid_second_order,0.8,0.9009535919067815,0.899034032069991,5098,0.28707163693182713,0.06947102366376261,0.5001153923658592,0.083457042847213,0.698429074387502
comgenvid,same_grid_second_order,0.85,0.8932524372191493,0.8907189558749984,5098,0.28707163693182713,0.06947102366376261,0.5001153923658592,0.083457042847213,0.698429074387502
comgenvid,same_grid_second_order,0.9,0.8835724076409437,0.8809427851213467,5098,0.28707163693182713,0.06947102366376261,0.5001153923658592,0.083457042847213,0.698429074387502
comgenvid,same_grid_second_order,0.95,0.8709319562542227,0.8693400459488623,5098,0.28707163693182713,0.06947102366376261,0.5001153923658592,0.083457042847213,0.698429074387502
comgenvid,same_grid_second_order,1.0,0.8531786165668471,0.8553497287126643,5098,0.28707163693182713,0.06947102366376261,0.5001153923658592,0.083457042847213,0.698429074387502
