variant,calibration_score_seconds,evaluation_score_seconds,peak_vram_gib
c0,5344.7341446504,5293.648463731632,0.0
c1,5380.726808927953,5324.4043747689575,3.4493494033813477
c2,5496.855809327215,5438.088181804866,3.4493494033813477
c3,5186.631324667484,5128.516203144565,3.4493494033813477
