Generative Model,n_real,n_annotated,n_total,patch_final_score AUC,patch_final_score AP
Sora,1698.0,1698.0,3396.0,0.9183294002089343,0.9207496169776189
VEO3,1698.0,1698.0,3396.0,0.9381073971872959,0.9424230166902687
Average,1698.0,1698.0,3396.0,0.9282183986981151,0.9315863168339438
