scope,auc,real_positive_ap,fake_positive_ap,fake_tpr_at_0_1pct_real_fpr,fake_tpr_at_1pct_real_fpr,real_fpr_at_95pct_fake_tpr,condition,variant
Average,0.8740424242424242,0.8785521150523495,0.8627040864905909,0.25496969696969696,0.25496969696969696,0.5076969696969696,clean,full
Average,0.8717254545454546,0.8823860472459865,0.859362875026641,0.26575757575757575,0.26575757575757575,0.45490909090909093,clean,global_only
Average,0.8351539393939394,0.8304941379109995,0.8392055640550776,0.1984848484848485,0.1984848484848485,0.6014545454545455,clean,local_raw
Average,0.7441527272727274,0.7980947076081369,0.7032365035058402,0.09272727272727273,0.09272727272727273,0.5544242424242425,clean,split
Average,0.4767624242424242,0.5534393364450015,0.5170466065484537,0.034484848484848486,0.034484848484848486,0.8326060606060605,clean,split_raw
Average,0.7801987878787878,0.8255039799565917,0.7478888181908432,0.16872727272727273,0.16872727272727273,0.49872727272727274,clean,ttr
Average,0.5515830303030304,0.6107837614748156,0.5757590974831309,0.053515151515151516,0.053515151515151516,0.7711515151515153,clean,ttr_raw
Average,0.8732169696969696,0.8737405009941553,0.8657271585077094,0.2796969696969697,0.2796969696969697,0.5279393939393939,crf23,full
Average,0.8690636363636365,0.8753456380922513,0.85846750382764,0.24266666666666667,0.24266666666666667,0.4682424242424243,crf23,global_only
Average,0.8336084848484848,0.8303538966828151,0.8353507825864708,0.18684848484848485,0.18684848484848485,0.6100606060606061,crf23,local_raw
Average,0.7434121212121213,0.7968756698272697,0.7026562363703408,0.0870909090909091,0.0870909090909091,0.5592121212121213,crf23,split
Average,0.46948484848484845,0.5438611818051706,0.5091790881075848,0.030545454545454542,0.030545454545454542,0.84,crf23,split_raw
Average,0.777560606060606,0.8226892131600084,0.7424010183721202,0.1603030303030303,0.1603030303030303,0.5199393939393939,crf23,ttr
Average,0.5447806060606061,0.6030173421994446,0.5649073524878813,0.03860606060606061,0.03860606060606061,0.7969090909090909,crf23,ttr_raw
Average,0.8598375757575757,0.8589341788240334,0.8551407299385203,0.274,0.274,0.548060606060606,crf35,full
Average,0.8477363636363636,0.8527653087379465,0.8423819157711191,0.3032727272727273,0.3032727272727273,0.5378787878787878,crf35,global_only
Average,0.8315466666666667,0.8254616701014285,0.8403715158127708,0.2481818181818182,0.2481818181818182,0.6067878787878788,crf35,local_raw
Average,0.7173951515151514,0.7632399598090492,0.6813307640648203,0.07224242424242425,0.07224242424242425,0.6539393939393938,crf35,split
Average,0.43601333333333336,0.5132361351475351,0.4817483096413091,0.02084848484848485,0.02084848484848485,0.907030303030303,crf35,split_raw
Average,0.7567830303030304,0.7941176652141698,0.7259206257005743,0.11090909090909092,0.11090909090909092,0.6057575757575757,crf35,ttr
Average,0.5037927272727273,0.5685941820000814,0.530839256128723,0.03333333333333333,0.03333333333333333,0.8426060606060606,crf35,ttr_raw
