variant,run_name,dataset,auc,ap_real,tpr_at_0_1pct_fpr,tpr_at_1pct_fpr,fpr_at_95pct_tpr,n_real,n_fake,n_generators
t0_d2,t0_d2,comgenvid,0.8993298834010219,0.7726902109522533,0.0,0.19823529411764707,0.39420935412026725,898,3400,2
t0_d2,t0_d2,genvideo,0.8720592119688926,0.8855285188350331,0.07909203759531831,0.25536442631672285,0.5596192384769539,7984,5639,8
t0_d2,t0_d2,videofeedback,0.8552156666666666,0.571976358542296,0.019,0.10366666666666667,0.54,500,3000,10
t1_curvature,t1_curvature,comgenvid,0.8802107624787108,0.6979358516566863,0.03911764705882353,0.22617647058823528,0.4866369710467706,898,3400,2
t1_curvature,t1_curvature,genvideo,0.8380937482341878,0.8686390928215351,0.0,0.14949459123958148,0.6097194388777555,7984,5639,8
t1_curvature,t1_curvature,videofeedback,0.7984763333333333,0.5025140467516702,0.015333333333333332,0.09766666666666667,0.608,500,3000,10
t2_speed_ratio,t2_speed_ratio,comgenvid,0.7242674898467181,0.505767436806152,0.005294117647058823,0.02323529411764706,0.6592427616926503,898,3400,2
t2_speed_ratio,t2_speed_ratio,genvideo,0.5811174796836092,0.6984884479131828,0.0,0.0007093456286575634,0.8574649298597194,7984,5639,8
t2_speed_ratio,t2_speed_ratio,videofeedback,0.7542139999999999,0.42568480416849686,0.06433333333333334,0.154,0.69,500,3000,10
t3_path_chord,t3_path_chord,comgenvid,0.7850795886283244,0.5545402419637132,0.04323529411764706,0.14147058823529413,0.6013363028953229,898,3400,2
t3_path_chord,t3_path_chord,genvideo,0.6897622830338812,0.755742638715819,0.0,0.03936868239049477,0.815506012024048,7984,5639,8
t3_path_chord,t3_path_chord,videofeedback,0.7718360000000001,0.4599998020785114,0.023333333333333334,0.078,0.646,500,3000,10
t4_d2_curvature,t4_d2_curvature,comgenvid,0.8993041726712957,0.7726147191573145,0.0,0.1988235294117647,0.39420935412026725,898,3400,2
t4_d2_curvature,t4_d2_curvature,genvideo,0.8720270830719783,0.8855306064881279,0.07873736478098954,0.25678311757403793,0.560370741482966,7984,5639,8
t4_d2_curvature,t4_d2_curvature,videofeedback,0.8552120000000001,0.5720030787051212,0.018333333333333333,0.104,0.54,500,3000,10
t5_geometry,t5_geometry,comgenvid,0.8260307218655836,0.5973823396627094,0.07294117647058823,0.15970588235294117,0.5979955456570156,898,3400,2
t5_geometry,t5_geometry,genvideo,0.5811795052243163,0.698496134698555,0.0,0.0007093456286575634,0.8574649298597194,7984,5639,8
t5_geometry,t5_geometry,videofeedback,0.8023973333333334,0.4970302124583868,0.05433333333333333,0.13766666666666666,0.62,500,3000,10
