scope,auc,real_positive_ap,fake_positive_ap,fake_tpr_at_0_1pct_real_fpr,fake_tpr_at_1pct_real_fpr,real_fpr_at_95pct_fake_tpr,variant
Average,0.8744719007139845,0.8770747547781038,0.8635602420846706,0.07580655484385825,0.2125054612849621,0.46270724674247815,original_full
Average,0.8650295631479988,0.871736829622041,0.8491813519718406,0.05873464391785294,0.18395737837187542,0.48214278936133165,original_global
Average,0.8746972658447838,0.877484649191188,0.863876249056597,0.08167206000821595,0.2110060863562601,0.460436379345959,original_matched
Average,0.8354825938730457,0.8370625427768807,0.8279570889785345,0.07150817261965563,0.2158169730340831,0.561946786692666,original_matched_raw
Average,0.8356330293104435,0.8364161332130475,0.8280617607930719,0.07183319840086645,0.2047927280732824,0.5659595253329327,original_raw
Average,0.8751031303151823,0.8750348897231325,0.8671289853093548,0.07281322116914189,0.23569430494966082,0.47787503086550087,s17_d1
Average,0.8809572564057602,0.882283803485603,0.8715169801775584,0.0790377255535079,0.24201775843304466,0.4604286461524238,s17_full
Average,0.8724379150422701,0.8790037498090305,0.8561203652338709,0.07156847690546364,0.2081744492153587,0.46157810026321666,s17_global
Average,0.8799305200371134,0.881384275657695,0.8704888214033604,0.07656779781253305,0.2382407178721433,0.465318007140968,s17_matched
Average,0.8810678296006681,0.8823433078232844,0.8717928627953002,0.08200728754311443,0.23682102495123322,0.4606142437767742,s17_source
Average,0.8709173580051974,0.8733155693145052,0.8589972080164182,0.06738549988457877,0.2250821379841711,0.48036495992634887,s29_d1
Average,0.8762525581254414,0.8795112507539914,0.8633427902616782,0.07268619042946593,0.23078142127751758,0.4628681947423119,s29_full
Average,0.8662132939267365,0.8748435673981488,0.8473163998756824,0.05456482830669118,0.18329717915885402,0.4606797506037464,s29_global
Average,0.876221937425997,0.8794923422845091,0.8632653624184755,0.07117746033325824,0.2286721752924055,0.4648508541643368,s29_matched
Average,0.8761237971900625,0.8793409887142447,0.8633702698757039,0.07769732628692697,0.22762626166356068,0.46565215910756813,s29_source
Average,0.864910512618459,0.8667626682521966,0.8528047282809964,0.06725019506027063,0.22559252884535277,0.49449510715802775,s43_d1
Average,0.8700224843503176,0.8732830388552356,0.8563029104214624,0.08068869780304734,0.23682811369821175,0.47669793218232587,s43_full
Average,0.8608582179322238,0.8699668232841568,0.8411718278124615,0.08185908531532161,0.20242069844800414,0.4747547563843956,s43_global
Average,0.8702991351428633,0.8734895597751448,0.856596645162648,0.08337774304252939,0.2360764248079601,0.4764681670339825,s43_matched
Average,0.8696211139867446,0.8727332240300233,0.8560818404849674,0.0844006502900555,0.23849849231736542,0.47781151792842835,s43_source
Average,0.8740303489735434,0.8748212530503646,0.8658730764083361,0.06544161653825835,0.22545994431761562,0.47547550778563696,s59_d1
Average,0.8790175791774352,0.8807864166138367,0.8697309925216968,0.07247168895966292,0.23254507186656873,0.46346010246499175,s59_full
Average,0.8698403781762901,0.8781723250642813,0.8538710262051289,0.0852994004090723,0.19656760500438986,0.4607593979371975,s59_global
Average,0.879490531472363,0.8811931060776715,0.8699419860449035,0.07061953057825356,0.23256124482860652,0.46354535493392907,s59_matched
Average,0.8792383122095133,0.8810188402035722,0.8699959228997093,0.07284288420836373,0.2312458884961159,0.4612329309727868,s59_source
Average,0.869000127837703,0.870508735204667,0.8576753675065962,0.05860551246160842,0.20906578742380758,0.48553163565722435,s71_d1
Average,0.8744502838542504,0.8772170162765875,0.8617655525570873,0.06317644769472734,0.21898008389943038,0.4699995534179194,s71_full
Average,0.8627434219752157,0.8714067761626266,0.8424539621928716,0.07107767104939267,0.1719982780538529,0.47117512173420845,s71_global
Average,0.8743683909417531,0.8772421767684241,0.8617059278196937,0.06224386091910835,0.21564764825959923,0.4696547484517866,s71_matched
Average,0.8744244489956271,0.8771049234054723,0.8618411989005095,0.061134873826872854,0.2193512791481312,0.47278351778317546,s71_source
