dataset,metric,delta,source_groups,generator_cells
comgenvid,auc,0.03624640998804579,2487.0,2.0
comgenvid,ap_real,0.03601376332411049,2487.0,2.0
genvideo,auc,0.02847103361357539,8365.0,10.0
genvideo,ap_real,0.029852058867024012,8365.0,10.0
videofeedback,auc,0.015345113491873104,3514.0,11.0
videofeedback,ap_real,0.014155567975315607,3514.0,11.0
Macro-3,auc,0.02668751903116476,,
Macro-3,ap_real,0.026673796722150034,,
Average,auc,0.022869539327063027,,
Average,ap_real,0.022880841871605773,,
