condition,score,pearson_r,mean_absolute_change,median_absolute_change
uniform_4fps_2s,d3_raw,0.9161685120892747,0.5016466036611132,0.2514701783657074
uniform_4fps_2s,d3_one_sided,0.8642294200711558,0.11042598384762616,0.07499999999999996
central_8fps_1s,d3_raw,0.7534899950771321,0.5126682433018446,0.16953909397125244
central_8fps_1s,d3_one_sided,0.8025839669417059,0.13364011950889315,0.09000000000000008
frame_drop_one,d3_raw,0.9939238734911986,0.1047156385952603,0.06301793456077576
frame_drop_one,d3_one_sided,0.9845717710569285,0.03212291676392325,0.015000000000000013
frame_duplicate_two,d3_raw,0.8948529279820542,1.1136251706801725,0.9885218143463135
frame_duplicate_two,d3_one_sided,0.9034641135721422,0.09831730544792494,0.06500000000000002
remove_exact_duplicates,d3_raw,0.9936278976010051,0.008945930270663767,0.0
remove_exact_duplicates,d3_one_sided,0.9997114400529199,0.0007024098636278723,0.0
