dataset,generator,local,alpha_global,auc,ap
genvideo,Crafter,L3,0.2,0.7704985287460389,0.7292769922626561
genvideo,Crafter,L3,0.4,0.7873613626075148,0.7497293816963012
genvideo,Crafter,L3,0.5,0.7935293119058399,0.7646415652502749
genvideo,Crafter,L3,0.6,0.7985372340425533,0.772789579020025
genvideo,Crafter,L3,0.8,0.8045354232684473,0.7895668660406981
genvideo,Crafter,P0,0.2,0.8116653463105478,0.7825597584723006
genvideo,Crafter,P0,0.4,0.820323110004527,0.7900491494618075
genvideo,Crafter,P0,0.5,0.8232090312358533,0.7968525504201744
genvideo,Crafter,P0,0.6,0.824736871887732,0.8000970821859836
genvideo,Crafter,P0,0.8,0.8207475101856043,0.8020902598745476
genvideo,Gen2,L0,0.2,0.9020828082335643,0.9165866209170015
genvideo,Gen2,L0,0.4,0.9078788594833018,0.921760063700571
genvideo,Gen2,L0,0.5,0.9079072148708255,0.9213560578901039
genvideo,Gen2,L0,0.6,0.9064768431001891,0.9191920240347177
genvideo,Gen2,L0,0.8,0.8993375866414618,0.9092383001116477
genvideo,Gen2,L1,0.2,0.8827040012602394,0.8927468762796071
genvideo,Gen2,L1,0.4,0.8823369565217392,0.8921757476100427
genvideo,Gen2,L1,0.5,0.8822146082755723,0.8919759546734354
genvideo,Gen2,L1,0.6,0.8820591787439613,0.8917125943370431
genvideo,Gen2,L1,0.8,0.8816359483301828,0.8909844871848653
