dataset,condition,score,generator,n,auc,ap
videofeedback,jpeg_q30,d3_one_sided,ModelScope,40,0.40625,0.4736160210344166
videofeedback,jpeg_q30,d3_one_sided,Pika,40,0.8725,0.8652853393334954
videofeedback,jpeg_q30,d3_one_sided,SoRA-Clip,40,0.6074999999999999,0.5983444702669722
videofeedback,jpeg_q30,d3_one_sided,Text2Video-Zero,40,0.08124999999999999,0.332428925673023
videofeedback,jpeg_q30,d3_one_sided,VideoCrafter2,40,0.70625,0.7729441067773112
videofeedback,jpeg_q30,d3_one_sided,ZeroScope-576w,40,0.21125000000000002,0.37481571650829004
videofeedback,jpeg_q30,d3_two_sided,AnimateDiff,40,0.5375,0.6062118619246987
videofeedback,jpeg_q30,d3_two_sided,Fast-SVD,40,0.655,0.6905548494622074
videofeedback,jpeg_q30,d3_two_sided,LVDM,40,0.5449999999999999,0.5881852060896179
videofeedback,jpeg_q30,d3_two_sided,LaVie-base,40,0.6,0.5784503596526093
videofeedback,jpeg_q30,d3_two_sided,ModelScope,40,0.46625,0.47603217796696057
videofeedback,jpeg_q30,d3_two_sided,Pika,40,0.7949999999999999,0.8093435204501382
videofeedback,jpeg_q30,d3_two_sided,SoRA-Clip,40,0.5625,0.6055865289706406
videofeedback,jpeg_q30,d3_two_sided,Text2Video-Zero,40,0.8637499999999999,0.8944637902591867
videofeedback,jpeg_q30,d3_two_sided,VideoCrafter2,40,0.45625,0.49062203356422424
videofeedback,jpeg_q30,d3_two_sided,ZeroScope-576w,40,0.6312500000000001,0.6746001036714779
videofeedback,resize_half,d3_raw,AnimateDiff,40,0.4225,0.4730785073623175
videofeedback,resize_half,d3_raw,Fast-SVD,40,0.6975,0.7324865906831799
videofeedback,resize_half,d3_raw,LVDM,40,0.31750000000000006,0.428526693034046
videofeedback,resize_half,d3_raw,LaVie-base,40,0.42000000000000004,0.4612646547610634
videofeedback,resize_half,d3_raw,ModelScope,40,0.45249999999999996,0.4865895684580661
videofeedback,resize_half,d3_raw,Pika,40,0.885,0.8864593925568532
videofeedback,resize_half,d3_raw,SoRA-Clip,40,0.585,0.5764197854830765
videofeedback,resize_half,d3_raw,Text2Video-Zero,40,0.07,0.3295036481339011
videofeedback,resize_half,d3_raw,VideoCrafter2,40,0.7274999999999999,0.7986443850855395
videofeedback,resize_half,d3_raw,ZeroScope-576w,40,0.16749999999999998,0.36055211659335756
videofeedback,resize_half,d3_one_sided,AnimateDiff,40,0.41624999999999995,0.4636027521392797
videofeedback,resize_half,d3_one_sided,Fast-SVD,40,0.69875,0.7338296920262812
videofeedback,resize_half,d3_one_sided,LVDM,40,0.3175,0.42951642708516113
videofeedback,resize_half,d3_one_sided,LaVie-base,40,0.42,0.4597652057528485
videofeedback,resize_half,d3_one_sided,ModelScope,40,0.45125,0.48776398543893473
videofeedback,resize_half,d3_one_sided,Pika,40,0.8825000000000001,0.8819667643587923
videofeedback,resize_half,d3_one_sided,SoRA-Clip,40,0.58375,0.5755163971795068
videofeedback,resize_half,d3_one_sided,Text2Video-Zero,40,0.06625,0.3293140214523389
videofeedback,resize_half,d3_one_sided,VideoCrafter2,40,0.725,0.797461401402556
videofeedback,resize_half,d3_one_sided,ZeroScope-576w,40,0.16874999999999998,0.362380250145629
videofeedback,resize_half,d3_two_sided,AnimateDiff,40,0.5137499999999999,0.5237245571297663
videofeedback,resize_half,d3_two_sided,Fast-SVD,40,0.54,0.5234582340629338
videofeedback,resize_half,d3_two_sided,LVDM,40,0.56375,0.5596856999209942
videofeedback,resize_half,d3_two_sided,LaVie-base,40,0.51,0.5065152089944547
videofeedback,resize_half,d3_two_sided,ModelScope,40,0.51125,0.49954563220028114
videofeedback,resize_half,d3_two_sided,Pika,40,0.805,0.7337887496135579
videofeedback,resize_half,d3_two_sided,SoRA-Clip,40,0.5387500000000001,0.5366851429478872
videofeedback,resize_half,d3_two_sided,Text2Video-Zero,40,0.8437499999999999,0.8742639237669273
videofeedback,resize_half,d3_two_sided,VideoCrafter2,40,0.515,0.5310096188536086
videofeedback,resize_half,d3_two_sided,ZeroScope-576w,40,0.6325000000000001,0.6311937512169289
genvideo,reference_pixels,d3_raw,Crafter,40,0.7075,0.7237719702897721
genvideo,reference_pixels,d3_raw,Gen2,40,0.8674999999999999,0.8567929205297626
genvideo,reference_pixels,d3_raw,Lavie,40,0.665,0.6974012746252476
genvideo,reference_pixels,d3_raw,ModelScope,40,0.5625,0.581395763258321
genvideo,reference_pixels,d3_raw,MorphStudio,40,0.6475000000000001,0.7010379183798738
genvideo,reference_pixels,d3_raw,Show_1,40,0.77,0.7883614358489368
genvideo,reference_pixels,d3_raw,Sora,40,0.7225,0.6796878416166342
genvideo,reference_pixels,d3_raw,WildScrape,40,0.6599999999999999,0.679828295500509
genvideo,reference_pixels,d3_one_sided,Crafter,40,0.7100000000000001,0.7236816341553185
genvideo,reference_pixels,d3_one_sided,Gen2,40,0.8687499999999999,0.8517190384081375
genvideo,reference_pixels,d3_one_sided,Lavie,40,0.665,0.6969405839581142
genvideo,reference_pixels,d3_one_sided,ModelScope,40,0.565,0.5827326770560982
genvideo,reference_pixels,d3_one_sided,MorphStudio,40,0.64125,0.6883669913033208
genvideo,reference_pixels,d3_one_sided,Show_1,40,0.77125,0.7898436492876721
genvideo,reference_pixels,d3_one_sided,Sora,40,0.7224999999999999,0.673622240551033
genvideo,reference_pixels,d3_one_sided,WildScrape,40,0.65875,0.678472515458348
genvideo,reference_pixels,d3_two_sided,Crafter,40,0.6,0.597649177835537
genvideo,reference_pixels,d3_two_sided,Gen2,40,0.80625,0.8059453788357964
genvideo,reference_pixels,d3_two_sided,Lavie,40,0.5675,0.5896048847031906
genvideo,reference_pixels,d3_two_sided,ModelScope,40,0.46375,0.49604730075903797
genvideo,reference_pixels,d3_two_sided,MorphStudio,40,0.51375,0.6251554376373156
genvideo,reference_pixels,d3_two_sided,Show_1,40,0.6375000000000001,0.69253034492648
genvideo,reference_pixels,d3_two_sided,Sora,40,0.6262500000000001,0.5812498458496644
genvideo,reference_pixels,d3_two_sided,WildScrape,40,0.6025,0.5816840747363428
genvideo,jpeg_q30,d3_raw,Crafter,40,0.675,0.7520794936684668
genvideo,jpeg_q30,d3_raw,Gen2,40,0.8,0.8095652819047959
genvideo,jpeg_q30,d3_raw,Lavie,40,0.6900000000000001,0.7389238610578992
genvideo,jpeg_q30,d3_raw,ModelScope,40,0.5599999999999999,0.5972871480135912
genvideo,jpeg_q30,d3_raw,MorphStudio,40,0.6375,0.6970863177780326
genvideo,jpeg_q30,d3_raw,Show_1,40,0.7125000000000001,0.7753051506753332
genvideo,jpeg_q30,d3_raw,Sora,40,0.725,0.7079689596153791
genvideo,jpeg_q30,d3_raw,WildScrape,40,0.6025,0.6368969890844891
genvideo,jpeg_q30,d3_one_sided,Crafter,40,0.67625,0.748956673394112
genvideo,jpeg_q30,d3_one_sided,Gen2,40,0.8025,0.809565281904796
genvideo,jpeg_q30,d3_one_sided,Lavie,40,0.6900000000000001,0.7361034829066389
genvideo,jpeg_q30,d3_one_sided,ModelScope,40,0.56375,0.5932568449832881
genvideo,jpeg_q30,d3_one_sided,MorphStudio,40,0.6375,0.6906348906689197
genvideo,jpeg_q30,d3_one_sided,Show_1,40,0.7124999999999999,0.7737899991601818
genvideo,jpeg_q30,d3_one_sided,Sora,40,0.72625,0.7033211220728046
genvideo,jpeg_q30,d3_one_sided,WildScrape,40,0.59875,0.6322311897731523
genvideo,jpeg_q30,d3_two_sided,Crafter,40,0.46375,0.4623214738038472
genvideo,jpeg_q30,d3_two_sided,Gen2,40,0.7075,0.6933797583311341
genvideo,jpeg_q30,d3_two_sided,Lavie,40,0.5349999999999999,0.5466147819849094
genvideo,jpeg_q30,d3_two_sided,ModelScope,40,0.40625,0.47166665060248575
genvideo,jpeg_q30,d3_two_sided,MorphStudio,40,0.48750000000000004,0.4913909009284099
genvideo,jpeg_q30,d3_two_sided,Show_1,40,0.53125,0.5589823341012856
genvideo,jpeg_q30,d3_two_sided,Sora,40,0.6074999999999999,0.5984900550838766
genvideo,jpeg_q30,d3_two_sided,WildScrape,40,0.5275000000000001,0.5697971399225918
genvideo,resize_half,d3_raw,Crafter,40,0.7375,0.7669796521521727
genvideo,resize_half,d3_raw,Gen2,40,0.87,0.8649842445036953
genvideo,resize_half,d3_raw,Lavie,40,0.6,0.6677457024660227
genvideo,resize_half,d3_raw,ModelScope,40,0.62,0.6096782175111595
genvideo,resize_half,d3_raw,MorphStudio,40,0.615,0.6859196477407319
genvideo,resize_half,d3_raw,Show_1,40,0.7775,0.8076009966412443
genvideo,resize_half,d3_raw,Sora,40,0.73,0.721448702246794
genvideo,resize_half,d3_raw,WildScrape,40,0.6649999999999999,0.687536902023629
genvideo,resize_half,d3_one_sided,Crafter,40,0.7400000000000001,0.769044495633425
genvideo,resize_half,d3_one_sided,Gen2,40,0.87,0.8631907879602387
genvideo,resize_half,d3_one_sided,Lavie,40,0.6,0.6672799580654958
genvideo,resize_half,d3_one_sided,ModelScope,40,0.62375,0.6096573319639583
genvideo,resize_half,d3_one_sided,MorphStudio,40,0.61875,0.6880416193363877
genvideo,resize_half,d3_one_sided,Show_1,40,0.7775,0.8022160221386228
genvideo,resize_half,d3_one_sided,Sora,40,0.735,0.7234288364057208
genvideo,resize_half,d3_one_sided,WildScrape,40,0.6675000000000001,0.6887516155547687
genvideo,resize_half,d3_two_sided,Crafter,40,0.5650000000000001,0.5456768202255835
genvideo,resize_half,d3_two_sided,Gen2,40,0.7975,0.8247694925352114
genvideo,resize_half,d3_two_sided,Lavie,40,0.4375,0.44897781191359565
genvideo,resize_half,d3_two_sided,ModelScope,40,0.50125,0.5053240388838215
genvideo,resize_half,d3_two_sided,MorphStudio,40,0.4537500000000001,0.5537756834188287
genvideo,resize_half,d3_two_sided,Show_1,40,0.6024999999999999,0.6180396601723481
genvideo,resize_half,d3_two_sided,Sora,40,0.5875,0.5489042263395713
genvideo,resize_half,d3_two_sided,WildScrape,40,0.61,0.6543393166308689
