dataset,generator,config,config_name,n_real,n_fake,auc,ap
videofeedback,ZeroScope-576w,G2,STALL + two-sided D3,300,300,0.7378666666666667,0.7866840571393332
videofeedback,ZeroScope-576w,G3,STALL + motion-conditioned D3,300,300,0.7539333333333332,0.783674279482754
videofeedback,ZeroScope-576w,G4,STALL + time-normalized conditional D3,300,300,0.7539333333333332,0.783674279482754
genvideo,Crafter,G0,Original STALL,188,188,0.7989616342236305,0.7886960648272836
genvideo,Crafter,G1,STALL + raw D3,188,188,0.83541760977818,0.8334237667919273
genvideo,Crafter,G2,STALL + two-sided D3,188,188,0.7592236306020824,0.7542049655936249
genvideo,Crafter,G3,STALL + motion-conditioned D3,188,188,0.7036272068809415,0.7464651130361795
genvideo,Crafter,G4,STALL + time-normalized conditional D3,188,188,0.7355703938433682,0.773023777367599
genvideo,Gen2,G0,Original STALL,1380,1380,0.8782726843100189,0.8884826365726085
genvideo,Gen2,G1,STALL + raw D3,1380,1380,0.9378720331863053,0.9475971981056369
genvideo,Gen2,G2,STALL + two-sided D3,1380,1380,0.9027974690191137,0.9070243265642095
genvideo,Gen2,G3,STALL + motion-conditioned D3,1380,1380,0.8169208149548415,0.8481642599327688
genvideo,Gen2,G4,STALL + time-normalized conditional D3,1380,1380,0.830186147868095,0.8529747154256441
genvideo,Lavie,G0,Original STALL,1400,1400,0.852420918367347,0.8474075564708518
genvideo,Lavie,G1,STALL + raw D3,1400,1400,0.818086224489796,0.8336866888254642
genvideo,Lavie,G2,STALL + two-sided D3,1400,1400,0.7426285714285714,0.7658849467664021
genvideo,Lavie,G3,STALL + motion-conditioned D3,1400,1400,0.7337711734693877,0.7709342093130414
genvideo,Lavie,G4,STALL + time-normalized conditional D3,1400,1400,0.7551321428571429,0.7851560430363858
genvideo,ModelScope,G0,Original STALL,700,700,0.7743897959183672,0.7783100071012515
genvideo,ModelScope,G1,STALL + raw D3,700,700,0.7570591836734695,0.7900464666636879
genvideo,ModelScope,G2,STALL + two-sided D3,700,700,0.6690183673469388,0.7116286098252583
genvideo,ModelScope,G3,STALL + motion-conditioned D3,700,700,0.7095673469387755,0.7420501100059167
genvideo,ModelScope,G4,STALL + time-normalized conditional D3,700,700,0.7450663265306122,0.7657875819364293
genvideo,MorphStudio,G0,Original STALL,700,700,0.824580612244898,0.8354687038640494
genvideo,MorphStudio,G1,STALL + raw D3,700,700,0.7983448979591836,0.8275199238173744
genvideo,MorphStudio,G2,STALL + two-sided D3,700,700,0.7070836734693877,0.7492179143937177
genvideo,MorphStudio,G3,STALL + motion-conditioned D3,700,700,0.6956714285714286,0.7465165273792872
genvideo,MorphStudio,G4,STALL + time-normalized conditional D3,700,700,0.7325632653061224,0.7737832854654629
genvideo,Show_1,G0,Original STALL,700,700,0.8169336734693878,0.8025171027617499
genvideo,Show_1,G1,STALL + raw D3,700,700,0.8304795918367347,0.8309413430142636
genvideo,Show_1,G2,STALL + two-sided D3,700,700,0.735830612244898,0.737602779523143
genvideo,Show_1,G3,STALL + motion-conditioned D3,700,700,0.7158785714285715,0.7436779400054101
genvideo,Show_1,G4,STALL + time-normalized conditional D3,700,700,0.7409693877551021,0.766137240789218
genvideo,Sora,G0,Original STALL,56,56,0.7971938775510204,0.812250384150452
genvideo,Sora,G1,STALL + raw D3,56,56,0.8376913265306122,0.8585563194325578
genvideo,Sora,G2,STALL + two-sided D3,56,56,0.765625,0.7941796668268376
genvideo,Sora,G3,STALL + motion-conditioned D3,56,56,0.8064413265306123,0.8225290676398346
genvideo,Sora,G4,STALL + time-normalized conditional D3,56,56,0.768813775510204,0.7855386178807426
genvideo,WildScrape,G0,Original STALL,515,515,0.7255575454802525,0.6757984363809761
genvideo,WildScrape,G1,STALL + raw D3,515,515,0.7367103402771231,0.6999754048346272
genvideo,WildScrape,G2,STALL + two-sided D3,515,515,0.6574719577717032,0.6356840718920072
genvideo,WildScrape,G3,STALL + motion-conditioned D3,515,515,0.6578621924780846,0.6463435758742948
genvideo,WildScrape,G4,STALL + time-normalized conditional D3,515,515,0.6812593081346028,0.6654694286308668
