dataset,scene_cut_proxy,n_real,n_fake,auc,ap
comgenvid,False,870,3377,0.8616863910360484,0.6766862887299548
comgenvid,True,28,23,0.7857142857142857,0.8080794882183272
videofeedback,True,41,257,0.7261080003796148,0.36678739620581313
videofeedback,False,459,2743,0.761613836606867,0.4870838222317767
genvideo,False,7349,5607,0.8261447654401828,0.8583064871877271
genvideo,True,635,32,0.7739665354330708,0.9840550068605505
