domain,videos,max_abs_final_difference,mean_abs_final_difference,pearson,spearman
comgenvid,4298,0.0025000000000000022,2.908329455560727e-06,0.9999999105493033,0.9999997020124751
videofeedback,3500,0.0,0.0,1.0,1.0
genvideo,13623,0.0050000000000000044,1.6516185862144957e-06,0.9999999646192738,0.9999999689967868
genvidbench,600,0.0,0.0,0.9999999999999999,0.9999999999999999
