dataset,metric,delta,source_groups,generator_cells
comgenvid,auc,0.05373392245078151,2487.0,2.0
comgenvid,ap_real,0.04930686894678726,2487.0,2.0
genvideo,auc,0.056745856273211236,8365.0,10.0
genvideo,ap_real,0.057763160302683136,8365.0,10.0
videofeedback,auc,-0.017632210552323578,3514.0,11.0
videofeedback,ap_real,-0.01544033718523649,3514.0,11.0
Macro-3,auc,0.03094918939055639,,
Macro-3,ap_real,0.03054323068807797,,
Average,auc,0.020911830067744174,,
Average,ap_real,0.02201746225577411,,
