dataset,source_model,global_auc,patch_auc,alpha_auc,global_ap,patch_ap,alpha_ap,patch_minus_global_auc,alpha_minus_global_auc,alpha_minus_patch_auc,patch_minus_global_ap,alpha_minus_global_ap,alpha_minus_patch_ap
comgenvid,Sora,0.8393492101148583,0.917078014597649,0.9088364888505982,0.8421312276534302,0.9197963004863036,0.9089123668698014,0.07772880448279074,0.0694872787357399,-0.008241525747050837,0.07766507283287338,0.06678113921637119,-0.010883933616502195
comgenvid,VEO3,0.8670080230188361,0.9375658122005937,0.930765911811998,0.8685682297718984,0.9420218552674456,0.9333056722549188,0.07055778918175759,0.06375788879316191,-0.006799900388595681,0.07345362549554724,0.06473744248302038,-0.008716183012526857
videofeedback,AnimateDiff,0.8461656341268233,0.8225049682665406,0.8647009523107811,0.8659162027273873,0.8222689689852907,0.8832627088045897,-0.023660665860282704,0.018535318183957816,0.04219598404424052,-0.04364723374209667,0.01734650607720234,0.06099373981929901
videofeedback,Fast-SVD,0.8771800000000001,0.8712765,0.901427,0.8803514645119668,0.8964649994828616,0.9116909447028934,-0.0059035000000000615,0.024246999999999908,0.03015049999999997,0.01611353497089485,0.03133948019092658,0.015225945220031734
videofeedback,LVDM,0.8731339419320059,0.8629826576014273,0.9003692659128026,0.8997678921497079,0.8702812095419106,0.913245088596135,-0.010151284330578547,0.027235323980796755,0.0373866083113753,-0.0294866826077973,0.013477196446427087,0.042963879054224385
videofeedback,LaVie-base,0.8336175757972375,0.7812300939921757,0.8326328032034708,0.8472577718962522,0.7785040396403067,0.8480272837833465,-0.05238748180506181,-0.000984772593766725,0.05140270921129508,-0.0687537322559455,0.0007695118870942874,0.06952324414303979
videofeedback,ModelScope,0.8328692089580931,0.8366704512687428,0.8660551831026528,0.8495836105103092,0.8394405624141584,0.8732217189550036,0.0038012423106497106,0.033185974144559705,0.029384731833909994,-0.010143048096150742,0.023638108444694383,0.033781156540845125
videofeedback,Pika,0.8318677611976163,0.8724434712610535,0.8862728878316033,0.8451749220935041,0.892522226548319,0.9000630680071693,0.04057571006343719,0.054405126633987,0.013829416570549813,0.04734730445481494,0.0548881459136652,0.007540841458850256
videofeedback,SoRA-Clip,0.8237624054820416,0.7886844281663515,0.8286625708884688,0.8252624916541884,0.78156360174597,0.8328073283169724,-0.03507797731569007,0.004900165406427237,0.039978142722117305,-0.04369888990821846,0.007544836662783938,0.0512437265710024
videofeedback,Text2Video-Zero,0.8356513420319109,0.6635894848135333,0.7607197952710496,0.8385028106812952,0.6743195683174034,0.7782970449505653,-0.17206185721837763,-0.07493154676086133,0.0971303104575163,-0.1641832423638918,-0.06020576573072989,0.10397747663316192
videofeedback,VideoCrafter2,0.9425133962898884,0.8493516616205306,0.909624903883122,0.9493011031670712,0.8681956353811462,0.9265122828167116,-0.09316173466935784,-0.03288849240676639,0.06027324226259145,-0.08110546778592498,-0.022788820350359562,0.058316647435565416
videofeedback,ZeroScope-576w,0.778124976284255,0.8795720794218165,0.8772270665583962,0.8127119261579863,0.8789013944625595,0.8831686304710291,0.10144710313756145,0.09910209027414119,-0.0023450128634202594,0.06618946830457328,0.07045670431304285,0.004267236008469566
genvideo,Crafter,0.8002348347668629,0.8012392485287461,0.8307492077863285,0.7800229172078545,0.7964993871325621,0.8001706798423617,0.001004413761883205,0.03051437301946569,0.029509959257582485,0.016476469924707526,0.020147762634507127,0.0036712927097996007
genvideo,Gen2,0.8731083280823355,0.8697219596723379,0.9065868515017852,0.883986211823218,0.8944415245502941,0.9229016633127416,-0.00338636840999762,0.03347852341944968,0.0368648918294473,0.010455312727076116,0.03891545148952358,0.028460138762447462
genvideo,Lavie,0.8472724489795919,0.8113742346938775,0.8592826530612245,0.8423498927230442,0.8097157540063129,0.8604199711664519,-0.03589821428571438,0.01201020408163267,0.04790841836734705,-0.032634138716731265,0.01807007844340769,0.050704217160138954
genvideo,ModelScope,0.7763244897959183,0.81535,0.8343489795918366,0.777609477218053,0.8199500188978376,0.8393805161774688,0.03902551020408174,0.058024489795918344,0.018998979591836607,0.04234054167978463,0.061771038959415825,0.019430497279631198
genvideo,MorphStudio,0.8259489795918367,0.776845918367347,0.8337632653061224,0.836052229750005,0.7693320162088527,0.8392003368806195,-0.04910306122448971,0.007814285714285774,0.05691734693877548,-0.06672021354115232,0.0031481071306144193,0.06986832067176674
genvideo,Show_1,0.8178244897959184,0.8053357142857143,0.8433469387755099,0.8020084364176767,0.8024131164378869,0.8283918037705862,-0.012488775510204109,0.02552244897959155,0.03801122448979566,0.000404680020210213,0.02638336735290947,0.025978687332699257
genvideo,Sora,0.7050382653061225,0.8386479591836734,0.8316326530612245,0.7346438525283514,0.8737613701024927,0.855859448039426,0.13360969387755095,0.126594387755102,-0.007015306122448939,0.13911751757414126,0.12121559551107464,-0.017901922063066622
genvideo,WildScrape,0.723163351871053,0.7394099349608823,0.7593929682345177,0.6643840131750917,0.7076946370295354,0.6797673965719542,0.016246583089829292,0.03622961636346478,0.019983033273635487,0.04331062385444373,0.015383383396862516,-0.027927240457581215
