dataset,beta,mode,source_model,n_real,n_fake,n_total,auc,ap
comgenvid,0.45,fused_alpha0p60,VEO3,1698.0,1698.0,3396.0,0.9174962992559667,0.920866708243313
comgenvid,0.45,fused_alpha0p60,Average,1698.0,1698.0,3396.0,0.9081830491356144,0.911496187034653
comgenvid,0.5,patch_only,Sora,1698.0,1698.0,3396.0,0.9004817210297988,0.9094411553097299
comgenvid,0.5,patch_only,VEO3,1698.0,1698.0,3396.0,0.9129962708153845,0.9190389287414726
comgenvid,0.5,patch_only,Average,1698.0,1698.0,3396.0,0.9067389959225917,0.9142400420256013
comgenvid,0.5,fused_alpha0p60,Sora,1698.0,1698.0,3396.0,0.8964485343388814,0.9004904093322645
comgenvid,0.5,fused_alpha0p60,VEO3,1698.0,1698.0,3396.0,0.9145995219207521,0.9182640511421147
comgenvid,0.5,fused_alpha0p60,Average,1698.0,1698.0,3396.0,0.9055240281298167,0.9093772302371896
comgenvid,0.55,patch_only,Sora,1698.0,1698.0,3396.0,0.8957694287327571,0.9053434763395563
comgenvid,0.55,patch_only,VEO3,1698.0,1698.0,3396.0,0.907629151457892,0.9136454809526393
comgenvid,0.55,patch_only,Average,1698.0,1698.0,3396.0,0.9016992900953246,0.9094944786460978
comgenvid,0.55,fused_alpha0p60,Sora,1698.0,1698.0,3396.0,0.893814658969674,0.8986066098530782
comgenvid,0.55,fused_alpha0p60,VEO3,1698.0,1698.0,3396.0,0.9115272453839547,0.9155381427458972
comgenvid,0.55,fused_alpha0p60,Average,1698.0,1698.0,3396.0,0.9026709521768144,0.9070723762994877
comgenvid,0.6,patch_only,Sora,1698.0,1698.0,3396.0,0.890430229702789,0.9006114876108917
comgenvid,0.6,patch_only,VEO3,1698.0,1698.0,3396.0,0.9015446010757476,0.907392794298173
comgenvid,0.6,patch_only,Average,1698.0,1698.0,3396.0,0.8959874153892683,0.9040021409545324
comgenvid,0.6,fused_alpha0p60,Sora,1698.0,1698.0,3396.0,0.8908762612704478,0.8964876129006341
comgenvid,0.6,fused_alpha0p60,VEO3,1698.0,1698.0,3396.0,0.9081938010629841,0.9125727677178074
comgenvid,0.6,fused_alpha0p60,Average,1698.0,1698.0,3396.0,0.899535031166716,0.9045301903092207
comgenvid,0.65,patch_only,Sora,1698.0,1698.0,3396.0,0.8845888116137464,0.895373376628678
comgenvid,0.65,patch_only,VEO3,1698.0,1698.0,3396.0,0.894975173452867,0.9006116921982635
comgenvid,0.65,patch_only,Average,1698.0,1698.0,3396.0,0.8897819925333067,0.8979925344134707
comgenvid,0.65,fused_alpha0p60,Sora,1698.0,1698.0,3396.0,0.8877540402968365,0.8942152244448517
comgenvid,0.65,fused_alpha0p60,VEO3,1698.0,1698.0,3396.0,0.9047070550679035,0.9094838492541938
comgenvid,0.65,fused_alpha0p60,Average,1698.0,1698.0,3396.0,0.89623054768237,0.9018495368495227
comgenvid,0.7,patch_only,Sora,1698.0,1698.0,3396.0,0.8780457435547397,0.8894558931035075
comgenvid,0.7,patch_only,VEO3,1698.0,1698.0,3396.0,0.8878270493520402,0.8933068039446701
comgenvid,0.7,patch_only,Average,1698.0,1698.0,3396.0,0.88293639645339,0.8913813485240888
comgenvid,0.7,fused_alpha0p60,Sora,1698.0,1698.0,3396.0,0.88432903117504,0.891695460895953
comgenvid,0.7,fused_alpha0p60,VEO3,1698.0,1698.0,3396.0,0.9009837666706899,0.9062207123481756
comgenvid,0.7,fused_alpha0p60,Average,1698.0,1698.0,3396.0,0.892656398922865,0.8989580866220643
comgenvid,0.75,patch_only,Sora,1698.0,1698.0,3396.0,0.8708048407258037,0.8829481195166857
comgenvid,0.75,patch_only,VEO3,1698.0,1698.0,3396.0,0.8802564785564947,0.8855903251256242
comgenvid,0.75,patch_only,Average,1698.0,1698.0,3396.0,0.8755306596411492,0.884269222321155
comgenvid,0.75,fused_alpha0p60,Sora,1698.0,1698.0,3396.0,0.8807337253971623,0.889115173856642
comgenvid,0.75,fused_alpha0p60,VEO3,1698.0,1698.0,3396.0,0.8969850901982653,0.9027388657091626
comgenvid,0.75,fused_alpha0p60,Average,1698.0,1698.0,3396.0,0.8888594077977139,0.8959270197829023
comgenvid,0.8,patch_only,Sora,1698.0,1698.0,3396.0,0.8628626347632702,0.875863269750164
comgenvid,0.8,patch_only,VEO3,1698.0,1698.0,3396.0,0.8720433933915186,0.8773463305443574
comgenvid,0.8,patch_only,Average,1698.0,1698.0,3396.0,0.8674530140773944,0.8766048001472607
comgenvid,0.8,fused_alpha0p60,Sora,1698.0,1698.0,3396.0,0.8768713556168761,0.8862859067356219
comgenvid,0.8,fused_alpha0p60,VEO3,1698.0,1698.0,3396.0,0.8927661726329459,0.8990793451282962
comgenvid,0.8,fused_alpha0p60,Average,1698.0,1698.0,3396.0,0.884818764124911,0.8926826259319591
comgenvid,0.85,patch_only,Sora,1698.0,1698.0,3396.0,0.854508387197021,0.8685088131029588
comgenvid,0.85,patch_only,VEO3,1698.0,1698.0,3396.0,0.8634217349864941,0.8689454463625146
comgenvid,0.85,patch_only,Average,1698.0,1698.0,3396.0,0.8589650610917576,0.8687271297327367
comgenvid,0.85,fused_alpha0p60,Sora,1698.0,1698.0,3396.0,0.8728546436533801,0.8833819482846579
comgenvid,0.85,fused_alpha0p60,VEO3,1698.0,1698.0,3396.0,0.8883814672843129,0.8952850602699051
comgenvid,0.85,fused_alpha0p60,Average,1698.0,1698.0,3396.0,0.8806180554688465,0.8893335042772814
comgenvid,0.9,patch_only,Sora,1698.0,1698.0,3396.0,0.8455154404613756,0.8607852074816198
comgenvid,0.9,patch_only,VEO3,1698.0,1698.0,3396.0,0.8542512080310655,0.8600791861795566
comgenvid,0.9,patch_only,Average,1698.0,1698.0,3396.0,0.8498833242462205,0.8604321968305881
comgenvid,0.9,fused_alpha0p60,Sora,1698.0,1698.0,3396.0,0.8684976852140882,0.8802459580853713
comgenvid,0.9,fused_alpha0p60,VEO3,1698.0,1698.0,3396.0,0.8837890069519883,0.89144018541722
comgenvid,0.9,fused_alpha0p60,Average,1698.0,1698.0,3396.0,0.8761433460830382,0.8858430717512957
comgenvid,0.95,patch_only,Sora,1698.0,1698.0,3396.0,0.8357691651371182,0.8525944496963083
comgenvid,0.95,patch_only,VEO3,1698.0,1698.0,3396.0,0.8444952212885387,0.8508598594699217
comgenvid,0.95,patch_only,Average,1698.0,1698.0,3396.0,0.8401321932128285,0.851727154583115
