dataset,mode,beta,alpha,avg_auc,avg_ap,n_rows
videofeedback,fused_alpha0p60,0.85,0.6,0.8311460145096744,0.8538245743603639,34410
videofeedback,patch_only,0.9,,0.7596786361029837,0.7710152844910165,34410
videofeedback,fused_alpha0p60,0.9,0.6,0.826982448060671,0.8504006726390003,34410
videofeedback,patch_only,0.95,,0.7515281438925758,0.7616916256767902,34410
videofeedback,fused_alpha0p60,0.95,0.6,0.8226530856018732,0.846815253770739,34410
videofeedback,patch_only,1.0,,0.7431130224934747,0.7515758847666781,34410
videofeedback,fused_alpha0p60,1.0,0.6,0.8181006960069,0.843017863514793,34410
genvideo,patch_only,0.0,,0.8042229260830072,0.8047742104972698,15623
genvideo,fused_alpha0p60,0.0,0.6,0.8345053793953836,0.825717304490483,15623
genvideo,patch_only,0.05,,0.8058356991526232,0.8070398901938334,15623
genvideo,fused_alpha0p60,0.05,0.6,0.836235297661421,0.8271199450935304,15623
genvideo,patch_only,0.1,,0.8072410066575748,0.8092266588002035,15623
genvideo,fused_alpha0p60,0.1,0.6,0.8373879396648187,0.8282614769702012,15623
genvideo,patch_only,0.15,,0.8078639539060581,0.8109781104002616,15623
genvideo,fused_alpha0p60,0.15,0.6,0.8382226070314842,0.8290216870781786,15623
genvideo,patch_only,0.2,,0.8080745571362605,0.8124974677157611,15623
genvideo,fused_alpha0p60,0.2,0.6,0.8389300540906007,0.8298416364864206,15623
genvideo,patch_only,0.25,,0.80819811107403,0.8137740318533668,15623
genvideo,fused_alpha0p60,0.25,0.6,0.8394236334023356,0.8305704025836075,15623
genvideo,patch_only,0.3,,0.8078835273369904,0.8150900219104413,15623
genvideo,fused_alpha0p60,0.3,0.6,0.839620686875638,0.8310826618540224,15623
genvideo,patch_only,0.35,,0.8074261045444908,0.815609695031231,15623
genvideo,fused_alpha0p60,0.35,0.6,0.8395483267935829,0.8309536195934251,15623
genvideo,patch_only,0.4,,0.8063906494073919,0.8157588041092226,15623
genvideo,fused_alpha0p60,0.4,0.6,0.8395922217352608,0.8313708430051461,15623
genvideo,patch_only,0.45,,0.8049881127408607,0.8150659213698541,15623
genvideo,fused_alpha0p60,0.45,0.6,0.8393011520404712,0.8312748710719221,15623
genvideo,patch_only,0.5,,0.8030409554888525,0.8138597884829872,15623
genvideo,fused_alpha0p60,0.5,0.6,0.8386820666288635,0.8307604191532929,15623
genvideo,patch_only,0.55,,0.800313393748018,0.8117428150367775,15623
genvideo,fused_alpha0p60,0.55,0.6,0.8378104576418477,0.8305200877854908,15623
genvideo,patch_only,0.6,,0.797433695381351,0.8093534127009621,15623
genvideo,fused_alpha0p60,0.6,0.6,0.8368465429417254,0.8298256830726148,15623
genvideo,patch_only,0.65,,0.7940125343594289,0.8063607872973177,15623
genvideo,fused_alpha0p60,0.65,0.6,0.8356192063388773,0.8289298074465806,15623
genvideo,patch_only,0.7,,0.7901395782243364,0.8026527026906749,15623
genvideo,fused_alpha0p60,0.7,0.6,0.8339327626425783,0.8276940957599692,15623
genvideo,patch_only,0.75,,0.785086495884207,0.7978593163672756,15623
genvideo,fused_alpha0p60,0.75,0.6,0.83185418706776,0.8258498002874992,15623
genvideo,patch_only,0.8,,0.7800115820583734,0.7928814168629209,15623
genvideo,fused_alpha0p60,0.8,0.6,0.8297562238403469,0.8243019754137442,15623
genvideo,patch_only,0.85,,0.7742759031778064,0.7874179101765678,15623
genvideo,fused_alpha0p60,0.85,0.6,0.8276452471436032,0.8229986877598182,15623
genvideo,patch_only,0.9,,0.7682671291755712,0.7817265080261107,15623
genvideo,fused_alpha0p60,0.9,0.6,0.825089075538991,0.8212629863480078,15623
genvideo,patch_only,0.95,,0.7616785847965215,0.7753795593191287,15623
genvideo,fused_alpha0p60,0.95,0.6,0.8222632982711604,0.8190107515971066,15623
genvideo,patch_only,1.0,,0.7547538590659748,0.7686625241426976,15623
genvideo,fused_alpha0p60,1.0,0.6,0.8192717504854915,0.8168660704486137,15623
