dataset,method,source_model,n_boot,auc_mean,auc_ci_low,auc_ci_high,ap_mean,ap_ci_low,ap_ci_high
comgenvid,global_only,Sora,500,0.840231378200692,0.8267936115916955,0.852509749134948,0.8430927975120155,0.8287208476583157,0.8567089109527513
comgenvid,global_only,VEO3,500,0.8673645961937716,0.8557422015570935,0.8787690657439448,0.8690191499665787,0.8549381921430105,0.8808877269491527
comgenvid,patch_only,Sora,500,0.9174475660899655,0.9081798140138408,0.9265809775086505,0.9200352981587976,0.9104448485204293,0.9300067289403997
comgenvid,patch_only,VEO3,500,0.9378754051903115,0.9302530363321799,0.9451774956747405,0.9423578640707341,0.9356662881490451,0.9493034193098661
comgenvid,alpha_stalled,Sora,500,0.9093845778546713,0.8996014619377164,0.9185256141868513,0.9094450719087377,0.8989950159953667,0.919820896260612
comgenvid,alpha_stalled,VEO3,500,0.931096752249135,0.9228258650519032,0.9387615830449827,0.9336629585395483,0.9249464610244048,0.9414204902192859
videofeedback,global_only,AnimateDiff,500,0.8509224198230023,0.8367752788293077,0.8636758692643218,0.8712584795370805,0.8595552484836386,0.8826914659004687
videofeedback,global_only,Fast-SVD,500,0.8832687690000001,0.8689888125,0.8969443625,0.8884901877031982,0.8724774043603326,0.9027716471356287
videofeedback,global_only,LVDM,500,0.8743559864927829,0.8655192823018721,0.8831489095057001,0.9013485956362942,0.8942934393208126,0.9081679039734104
videofeedback,global_only,LaVie-base,500,0.8343754803095822,0.8251784534273474,0.8439628272910714,0.8485003235011931,0.8391384781769946,0.8584768205968601
videofeedback,global_only,ModelScope,500,0.8331853359709873,0.8242348371880432,0.8408858462826713,0.8507367041343591,0.8425137546615571,0.8581166173389188
videofeedback,global_only,Pika,500,0.8310680414505005,0.8227958509808809,0.8386555787811378,0.8452207462288237,0.8373359430298914,0.8532549205583079
videofeedback,global_only,SoRA-Clip,500,0.8311856108223062,0.8138261460302457,0.8494385485586011,0.836920660542758,0.8188264035293104,0.8552587779865765
videofeedback,global_only,Text2Video-Zero,500,0.8357254001315378,0.8270902157835814,0.843325051382568,0.8402755932365323,0.8313182891984967,0.8488587164223478
videofeedback,global_only,VideoCrafter2,500,0.9421685486717553,0.9376738028432792,0.9466143643799315,0.9492066919114851,0.945193003359875,0.9529649282147519
videofeedback,global_only,ZeroScope-576w,500,0.7874093084615249,0.7740156384784483,0.8011801534419241,0.8201750984917385,0.8073211978775091,0.8328476675745743
videofeedback,patch_only,AnimateDiff,500,0.8220723574124477,0.8073699060546157,0.8346285588450036,0.8264645272189487,0.8101893629539906,0.8420228374549605
videofeedback,patch_only,Fast-SVD,500,0.877016684,0.86234285,0.8919807375,0.9010885750951035,0.888406888626504,0.9130034038504409
videofeedback,patch_only,LVDM,500,0.8626747812272899,0.853569649172536,0.8712687299037607,0.870711117758942,0.8619086894309073,0.8796037751533334
videofeedback,patch_only,LaVie-base,500,0.7816326360172069,0.769422817014005,0.7932417869142817,0.7804302508586184,0.7660756201039963,0.7938698945045879
videofeedback,patch_only,ModelScope,500,0.8417439971975925,0.8346260459542042,0.8487180707295976,0.84410604768688,0.8357759973759953,0.8517174216912697
videofeedback,patch_only,Pika,500,0.877645223551677,0.8708328847258111,0.8841531392372032,0.8968252474452386,0.8913245697914766,0.9024681481059226
videofeedback,patch_only,SoRA-Clip,500,0.7944162641776938,0.7743539254489604,0.8121462665406427,0.7926770772216548,0.7703723470674355,0.8140889759620634
videofeedback,patch_only,Text2Video-Zero,500,0.6701935166726967,0.6597654271148112,0.6802475102983252,0.6810977656106514,0.6696179007898653,0.691770339246574
videofeedback,patch_only,VideoCrafter2,500,0.8537344731976418,0.8461507790764436,0.8611445222166928,0.8710290623800234,0.863792087089057,0.8783230586529588
videofeedback,patch_only,ZeroScope-576w,500,0.8805667793217256,0.870520535832488,0.8891046863576916,0.8815227489035938,0.8711383629946458,0.8913927781513852
videofeedback,alpha_stalled,AnimateDiff,500,0.8654962264989646,0.8519415864798762,0.8775778522492069,0.88613519767981,0.8748401852234144,0.8959085044486442
videofeedback,alpha_stalled,Fast-SVD,500,0.9066924900000001,0.8935146250000001,0.919518375,0.9175545740254452,0.9054052428101295,0.9303742959498686
videofeedback,alpha_stalled,LVDM,500,0.9005060495444852,0.8926602163237916,0.9074993385733301,0.9141260072309986,0.9073912105876284,0.9200566130323314
videofeedback,alpha_stalled,LaVie-base,500,0.833330863068351,0.8224568229614603,0.8434006199154369,0.8493711925597774,0.8392083541729897,0.8594403703016065
videofeedback,alpha_stalled,ModelScope,500,0.8694283136728933,0.8626053392100714,0.8760262197850448,0.8763726072757134,0.8697240796313507,0.883025640127299
videofeedback,alpha_stalled,Pika,500,0.8891889248331318,0.8825723999218055,0.8958095872736607,0.9025390538489436,0.8963152519596886,0.9084976792026509
videofeedback,alpha_stalled,SoRA-Clip,500,0.8357832443289225,0.8186677989130435,0.8527464260396975,0.8444713147827472,0.8270585326968156,0.8622248894260489
videofeedback,alpha_stalled,Text2Video-Zero,500,0.7648423115769862,0.7554925688796503,0.7734142790541226,0.78342946322692,0.7734205109745341,0.7924119865207461
videofeedback,alpha_stalled,VideoCrafter2,500,0.9117146853963904,0.9060448560484351,0.9174432943828251,0.9277882648541342,0.923195342952505,0.9323920744725747
videofeedback,alpha_stalled,ZeroScope-576w,500,0.87976775645258,0.8700466504514213,0.8891687873812842,0.8872010869225585,0.8772913263834748,0.8960292047778011
genvideo,global_only,Crafter,500,0.8133580805794478,0.7697293034178362,0.8535119114984155,0.7922182054669603,0.7385939219395319,0.8451411417034075
genvideo,global_only,Gen2,500,0.8775564776307498,0.8654498529720647,0.8902697700063013,0.8862365652841696,0.8744778677632106,0.898766625011557
genvideo,global_only,Lavie,500,0.8524319530612244,0.8388508545918367,0.865989343112245,0.8449510170531012,0.8277241474419693,0.8625489762554424
genvideo,global_only,ModelScope,500,0.7766555857142857,0.7493364285714286,0.8005077551020409,0.7755544537563255,0.7450086839992996,0.8022319727674699
genvideo,global_only,MorphStudio,500,0.8277911367346938,0.8041010969387755,0.8485689030612245,0.8349703264044263,0.8131086660293136,0.8587286071732303
genvideo,global_only,Show_1,500,0.8194384224489796,0.7961005612244897,0.8423560459183673,0.8010071365088799,0.7717222949231535,0.831759855454744
genvideo,global_only,Sora,500,0.7960593112244898,0.7121890943877551,0.8743781887755102,0.7954886692104618,0.7014940076364308,0.8822869104354709
genvideo,global_only,WildScrape,500,0.7263457554906212,0.6933568196814026,0.7568890093316994,0.6704240272736963,0.6311652584166375,0.7100935916370604
genvideo,patch_only,Crafter,500,0.7904383205070167,0.7456399954730647,0.8330346027614305,0.7790671102808608,0.7240554590568742,0.8285234294297046
genvideo,patch_only,Gen2,500,0.872113672547784,0.8585199078449905,0.8856509399285865,0.8963307349274737,0.8849604939019673,0.906452079618688
genvideo,patch_only,Lavie,500,0.8144568520408163,0.7985701466836734,0.8300133482142856,0.8118536309126698,0.7916982103929612,0.8296909263544586
genvideo,patch_only,ModelScope,500,0.8214940224489796,0.800526887755102,0.8440752551020408,0.8242942168771578,0.8020149803078763,0.8498363257719803
genvideo,patch_only,MorphStudio,500,0.7834714816326531,0.7571225,0.808692806122449,0.7744477081865814,0.7460943008982046,0.8019777074058071
genvideo,patch_only,Show_1,500,0.8108633591836736,0.7875438010204081,0.8348243622448981,0.8061665960925984,0.7767789252988527,0.8347284999985748
genvideo,patch_only,Sora,500,0.88253125,0.8140146683673469,0.9419802295918367,0.90493330373363,0.8521112031115358,0.9523678381198518
genvideo,patch_only,WildScrape,500,0.7446961183900462,0.7125853049297766,0.776038599302479,0.7086869800421942,0.6712177337329807,0.747699019476601
genvideo,alpha_stalled,Crafter,500,0.8295386487098235,0.7877999094612946,0.8706541421457673,0.8002406001119868,0.744064878317334,0.8588963516131385
