source_dataset,target_dataset,selected_param,source_oracle_auc,target_frozen_auc,target_frozen_ap,target_oracle_param,target_oracle_auc,target_oracle_ap,auc_gap_vs_target_oracle,ap_gap_vs_target_oracle
comgenvid,comgenvid,3,0.9298728081675802,0.9298728081675802,0.9287601716885026,3,0.9298728081675802,0.9287601716885026,0.0,0.0
comgenvid,videofeedback,3,0.9298728081675802,0.7533453162643111,0.7551171378284546,1,0.822830420524707,0.8302444893146411,-0.06948510426039589,-0.07512735148618654
comgenvid,genvideo,3,0.9298728081675802,0.789333951510667,0.7909270673078435,2,0.8072406946288327,0.8092277800772452,-0.017906743118165758,-0.018300712769401706
videofeedback,comgenvid,1,0.822830420524707,0.9087550690135002,0.907533494539448,3,0.9298728081675802,0.9287601716885026,-0.021117739154079995,-0.021226677149054574
videofeedback,videofeedback,1,0.822830420524707,0.822830420524707,0.8302444893146411,1,0.822830420524707,0.8302444893146411,0.0,0.0
videofeedback,genvideo,1,0.822830420524707,0.7975701015728696,0.7984642939073815,2,0.8072406946288327,0.8092277800772452,-0.009670593055963184,-0.010763486169863667
genvideo,comgenvid,2,0.8072406946288327,0.9230129917966262,0.9227310035274056,3,0.9298728081675802,0.9287601716885026,-0.006859816370954008,-0.006029168161096998
genvideo,videofeedback,2,0.8072406946288327,0.7940801818548278,0.7946296360634616,1,0.822830420524707,0.8302444893146411,-0.028750238669879247,-0.035614853251179523
genvideo,genvideo,2,0.8072406946288327,0.8072406946288327,0.8092277800772452,2,0.8072406946288327,0.8092277800772452,0.0,0.0
