source_dataset,target_dataset,selected_param,source_oracle_auc,target_frozen_auc,target_frozen_ap,target_oracle_param,target_oracle_auc,target_oracle_ap,auc_gap_vs_target_oracle,ap_gap_vs_target_oracle
comgenvid,comgenvid,0.2,0.9295734883830626,0.9295734883830626,0.9327065139202196,0.2,0.9295734883830626,0.9327065139202196,0.0,0.0
comgenvid,videofeedback,0.2,0.9295734883830626,0.8376396090931614,0.8488430290483953,0.8,0.8686775225741161,0.878365502101623,-0.03103791348095475,-0.02952247305322775
comgenvid,genvideo,0.2,0.9295734883830626,0.8201993928587852,0.8157845899601464,0.65,0.8379830522927851,0.8281442812654343,-0.017783659433999954,-0.012359691305287912
videofeedback,comgenvid,0.8,0.8686775225741161,0.9009535919067816,0.899034032069991,0.2,0.9295734883830626,0.9327065139202196,-0.028619896476281048,-0.03367248185022864
videofeedback,videofeedback,0.8,0.8686775225741161,0.8686775225741161,0.878365502101623,0.8,0.8686775225741161,0.878365502101623,0.0,0.0
videofeedback,genvideo,0.8,0.8686775225741161,0.8345975157084589,0.8222107816143995,0.65,0.8379830522927851,0.8281442812654343,-0.0033855365843262764,-0.005933499651034735
genvideo,comgenvid,0.65,0.8379830522927851,0.9163994292460748,0.9170500097507508,0.2,0.9295734883830626,0.9327065139202196,-0.013174059136987881,-0.015656504169468843
genvideo,videofeedback,0.65,0.8379830522927851,0.8649806167854056,0.876759784455167,0.8,0.8686775225741161,0.878365502101623,-0.003696905788710514,-0.0016057176464560063
genvideo,genvideo,0.65,0.8379830522927851,0.8379830522927851,0.8281442812654343,0.65,0.8379830522927851,0.8281442812654343,0.0,0.0
