source_dataset,target_dataset,selected_param,source_oracle_auc,target_frozen_auc,target_frozen_ap,target_oracle_param,target_oracle_auc,target_oracle_ap,auc_gap_vs_target_oracle,ap_gap_vs_target_oracle
comgenvid,comgenvid,0.0,0.9204746698464624,0.9204746698464624,0.9219698262423032,0.0,0.9204746698464624,0.9219698262423032,0.0,0.0
comgenvid,videofeedback,0.0,0.9204746698464624,0.8624684637667658,0.8736623455029768,0.1,0.8627692489035397,0.8750296144073388,-0.0003007851367738956,-0.0013672689043620068
comgenvid,genvideo,0.0,0.9204746698464624,0.8345053793953836,0.825717304490483,0.3,0.839620686875638,0.8310826618540224,-0.00511530748025435,-0.00536535736353938
videofeedback,comgenvid,0.1,0.8627692489035397,0.919801200331298,0.92110901956236,0.0,0.9204746698464624,0.9219698262423032,-0.0006734695151644488,-0.0008608066799431491
videofeedback,videofeedback,0.1,0.8627692489035397,0.8627692489035397,0.8750296144073388,0.1,0.8627692489035397,0.8750296144073388,0.0,0.0
videofeedback,genvideo,0.1,0.8627692489035397,0.8373879396648187,0.8282614769702012,0.3,0.839620686875638,0.8310826618540224,-0.0022327472108192303,-0.002821184883821104
genvideo,comgenvid,0.3,0.839620686875638,0.9147235159218704,0.9168757149610618,0.0,0.9204746698464624,0.9219698262423032,-0.005751153924592023,-0.005094111281241376
genvideo,videofeedback,0.3,0.839620686875638,0.8602512724511184,0.8751404153773181,0.1,0.8627692489035397,0.8750296144073388,-0.0025179764524212445,0.00011080096997928557
genvideo,genvideo,0.3,0.839620686875638,0.839620686875638,0.8310826618540224,0.3,0.839620686875638,0.8310826618540224,0.0,0.0
