target_dataset,train_datasets,selected_param,train_mean_auc,target_frozen_auc,target_frozen_ap,target_oracle_param,target_oracle_auc,target_oracle_ap,auc_gap_vs_target_oracle,ap_gap_vs_target_oracle
comgenvid,videofeedback+genvideo,0.75,0.8523414954534915,0.9071336957079692,0.9060981364224628,0.2,0.9295734883830626,0.9327065139202196,-0.02243979267509344,-0.026608377497756797
videofeedback,comgenvid+genvideo,0.5,0.8799369100372858,0.8575189554459947,0.8703116177239494,0.8,0.8686775225741161,0.878365502101623,-0.011158567128121466,-0.008053884377673626
genvideo,comgenvid+videofeedback,0.55,0.8913920940643288,0.836020399095353,0.8272702104450214,0.65,0.8379830522927851,0.8281442812654343,-0.0019626531974321626,-0.0008740708204129088
