target_dataset,train_datasets,selected_param,train_mean_auc,target_frozen_auc,target_frozen_ap,target_oracle_param,target_oracle_auc,target_oracle_ap,auc_gap_vs_target_oracle,ap_gap_vs_target_oracle
comgenvid,videofeedback+genvideo,0.2,0.8504675657261594,0.9177723810039108,0.919356551076448,0.0,0.9204746698464624,0.9219698262423032,-0.0027022888425516367,-0.002613275165855189
videofeedback,comgenvid+genvideo,0.1,0.8785945699980584,0.8627692489035397,0.8750296144073388,0.1,0.8627692489035397,0.8750296144073388,0.0,0.0
genvideo,comgenvid+videofeedback,0.05,0.8915458427308247,0.836235297661421,0.8271199450935304,0.3,0.839620686875638,0.8310826618540224,-0.0033853892142169384,-0.00396271676049198
