dataset,protocol_split,subset,source_model,filename,sampling,frame_indices,reason
genvideo,evaluation,annotated,WildScrape,D325.mp4,K3_uniform,"[71,73,75,77,79,81,82,84,86,88,90,92,94,96,98,99]",container_declares_194_frames_but_ffmpeg_decodes_only_0_through_98
genvideo,evaluation,annotated,WildScrape,D325.mp4,K5_uniform,"[71,73,75,77,79,81,82,84,86,88,90,92,94,96,98,99]",container_declares_194_frames_but_ffmpeg_decodes_only_0_through_98
