Generative Model,n_real,n_annotated,n_total,patch_final_score AUC,patch_final_score AP
Crafter,188.0,188.0,376.0,0.7329532593933907,0.713055302352962
Gen2,1380.0,1380.0,2760.0,0.8212710039907583,0.8441423193012334
Lavie,1400.0,1400.0,2800.0,0.7994520408163265,0.7960266739503165
ModelScope,700.0,700.0,1400.0,0.7556877551020408,0.7453712141333653
MorphStudio,700.0,700.0,1400.0,0.7267020408163265,0.7132841566116592
Show_1,700.0,700.0,1400.0,0.7666897959183674,0.7509235508342673
Sora,56.0,56.0,112.0,0.8182397959183673,0.8535580377938519
WildScrape,515.0,515.0,1030.0,0.7008558770854935,0.6404210224912277
Average,704.875,704.875,1409.75,0.7652314461301338,0.7570977846836104
