Generative Model,n_real,n_annotated,n_total,patch_final_score AUC,patch_final_score AP
AnimateDiff,1398.0,1398.0,2796.0,0.7834851443202122,0.7886993898139398
Fast-SVD,1000.0,1000.0,2000.0,0.8532609999999999,0.8790494753694016
LVDM,3172.0,3172.0,6344.0,0.837400651825796,0.853866889728506
LaVie-base,3214.0,3214.0,6428.0,0.7814883759563113,0.7809915918424366
ModelScope,4080.0,4080.0,8160.0,0.8152283977316417,0.8216353852130269
Pika,4080.0,4080.0,8160.0,0.8526242010284506,0.8764753693601487
SoRA-Clip,920.0,920.0,1840.0,0.7823777173913044,0.7802680146673042
Text2Video-Zero,4080.0,4080.0,8160.0,0.639317059544406,0.645546220854893
VideoCrafter2,4080.0,4080.0,8160.0,0.8471608576028451,0.8760479428119528
ZeroScope-576w,2178.0,2178.0,4356.0,0.8596398916959899,0.8694516277042958
Average,2820.2,2820.2,5640.4,0.8051983297096958,0.8172031907365905
