dataset,metric,delta,source_groups,generator_cells
comgenvid,auc,0.061701392850233905,2487.0,2.0
comgenvid,ap_real,0.06098123545327516,2487.0,2.0
genvideo,auc,0.08362021516095072,8365.0,10.0
genvideo,ap_real,0.07398516371036815,8365.0,10.0
videofeedback,auc,-0.018789851828431948,3514.0,11.0
videofeedback,ap_real,-0.01695276712699212,3514.0,11.0
Macro-3,auc,0.042177252060917554,,
Macro-3,ap_real,0.039337877345550394,,
Average,auc,0.03273550292161842,,
Average,ap_real,0.029362333461448627,,
