config,base_config,delta_macro_ap,worst_dataset_ap_delta,generator_non_decline_count,generator_total,high_motion_macro_ap_delta,macro_ap_ci95_low,macro_ap_ci95_high,passes_macro_ap,passes_worst_dataset,passes_generator_count,passes_high_motion,passes_bootstrap,admitted
C1,C0,-0.0027132787378083556,-0.005968497595266076,4,20,-0.01153382021859628,-0.003416314387954793,-0.0019545935431098246,False,False,False,False,False,False
C2,C0,-0.0030050165226863657,-0.005709992092122196,10,20,0.011704830768174856,-0.00440126062211489,-0.0017570823198805768,False,False,False,True,False,False
