dataset,scenario,condition,baseline,metric,delta,bootstrap_mean,ci95_low,ci95_high,iterations
comgenvid,A_original_calibration_to_perturbed_test,R6_repeat10,R0_original,real_positive_ap,-0.006587687289976829,-0.006376643442977178,-0.01783593684259179,0.004903643931196968,1000
comgenvid,A_original_calibration_to_perturbed_test,R7_repeat25,R0_original,auc,-0.028600000000000014,-0.029323200000000004,-0.05240000000000006,-0.007394999999999913,1000
comgenvid,A_original_calibration_to_perturbed_test,R7_repeat25,R0_original,real_positive_ap,-0.028224430048337634,-0.028359069078969148,-0.050107184623398346,-0.007811743928777725,1000
comgenvid,A_original_calibration_to_perturbed_test,R8_scene_cut,R0_original,auc,0.05849999999999994,0.0590268,0.018489999999999906,0.10950249999999999,1000
comgenvid,A_original_calibration_to_perturbed_test,R8_scene_cut,R0_original,real_positive_ap,0.058382473272745095,0.05781314255352436,0.022101104870739133,0.10233400645783532,1000
comgenvid,A_original_calibration_to_perturbed_test,R9_4fps,R0_original,auc,-0.011900000000000022,-0.011963600000000003,-0.0263025000000001,-0.0004999999999999976,1000
comgenvid,A_original_calibration_to_perturbed_test,R9_4fps,R0_original,real_positive_ap,-0.010885449964476768,-0.010817003684728422,-0.025190890245538854,0.0020668108591443417,1000
genvideo,A_original_calibration_to_perturbed_test,R0_original,R0_original,auc,0.0,0.0,0.0,0.0,1000
genvideo,A_original_calibration_to_perturbed_test,R0_original,R0_original,real_positive_ap,0.0,0.0,0.0,0.0,1000
genvideo,A_original_calibration_to_perturbed_test,R1_h264_crf23,R0_original,auc,-0.01145000000000003,-0.011384075000000002,-0.024732499999999998,-0.0021750000000000233,1000
genvideo,A_original_calibration_to_perturbed_test,R1_h264_crf23,R0_original,real_positive_ap,-0.011293409854759046,-0.011183282838614307,-0.02080048067159084,-0.0027360395487962767,1000
genvideo,A_original_calibration_to_perturbed_test,R2_h264_crf35,R0_original,auc,-0.02645,-0.026385325,-0.043425625,-0.012924375000000007,1000
genvideo,A_original_calibration_to_perturbed_test,R2_h264_crf35,R0_original,real_positive_ap,-0.023591012596533054,-0.023409889666062132,-0.037840801497968354,-0.010110161997862601,1000
genvideo,A_original_calibration_to_perturbed_test,R3_resize_half_restore,R0_original,auc,-0.013400000000000009,-0.013512325,-0.024453125000000027,-0.003716249999999987,1000
genvideo,A_original_calibration_to_perturbed_test,R3_resize_half_restore,R0_original,real_positive_ap,-0.015865740237762785,-0.014412618176931659,-0.025893759165212554,-0.003779173133341447,1000
genvideo,A_original_calibration_to_perturbed_test,R4_drop10,R0_original,auc,-0.001250000000000015,-0.0012303250000000017,-0.005801875000000014,0.003199999999999981,1000
genvideo,A_original_calibration_to_perturbed_test,R4_drop10,R0_original,real_positive_ap,-0.0014392879054126312,-0.001533302063105876,-0.005715217323430687,0.002639958784534122,1000
genvideo,A_original_calibration_to_perturbed_test,R5_drop25,R0_original,auc,-0.00655,-0.006552425000000002,-0.014274999999999968,0.0008262500000000314,1000
genvideo,A_original_calibration_to_perturbed_test,R5_drop25,R0_original,real_positive_ap,-0.006549144552456879,-0.006720734934477325,-0.015332675398019222,0.001091472464985117,1000
genvideo,A_original_calibration_to_perturbed_test,R6_repeat10,R0_original,auc,-0.009625000000000036,-0.009856525000000001,-0.022683750000000027,0.005226250000000021,1000
genvideo,A_original_calibration_to_perturbed_test,R6_repeat10,R0_original,real_positive_ap,-0.01338301331225962,-0.012522570965567968,-0.024711323918204096,-0.0012735730464954371,1000
genvideo,A_original_calibration_to_perturbed_test,R7_repeat25,R0_original,auc,-0.007150000000000059,-0.006974925000000002,-0.026076875,0.010725000000000012,1000
genvideo,A_original_calibration_to_perturbed_test,R7_repeat25,R0_original,real_positive_ap,-0.005632036062202098,-0.005187262897676365,-0.024722883731194772,0.015443549205253317,1000
genvideo,A_original_calibration_to_perturbed_test,R8_scene_cut,R0_original,auc,0.05519999999999997,0.055421424999999996,0.025945624999999976,0.09062500000000002,1000
genvideo,A_original_calibration_to_perturbed_test,R8_scene_cut,R0_original,real_positive_ap,0.0692949189182854,0.06798505246664749,0.032314049485320816,0.10340132795925273,1000
genvideo,A_original_calibration_to_perturbed_test,R9_4fps,R0_original,auc,-0.011150000000000021,-0.011003300000000002,-0.030131875,0.0025506249999999835,1000
genvideo,A_original_calibration_to_perturbed_test,R9_4fps,R0_original,real_positive_ap,-0.00754790167272415,-0.007668079741361756,-0.02007384510334465,0.004091644076238513,1000
videofeedback,A_original_calibration_to_perturbed_test,R0_original,R0_original,auc,0.0,0.0,0.0,0.0,1000
videofeedback,A_original_calibration_to_perturbed_test,R0_original,R0_original,real_positive_ap,0.0,0.0,0.0,0.0,1000
videofeedback,A_original_calibration_to_perturbed_test,R1_h264_crf23,R0_original,auc,0.0010200000000000653,0.0011021599999999983,-0.006260500000000009,0.008784000000000007,1000
videofeedback,A_original_calibration_to_perturbed_test,R1_h264_crf23,R0_original,real_positive_ap,-0.0007518301442068443,-0.0005296985894261017,-0.008410344580098388,0.007037927794113904,1000
videofeedback,A_original_calibration_to_perturbed_test,R2_h264_crf35,R0_original,auc,-0.027079999999999993,-0.0269668,-0.042179999999999974,-0.013575000000000061,1000
videofeedback,A_original_calibration_to_perturbed_test,R2_h264_crf35,R0_original,real_positive_ap,-0.035185336304161874,-0.03371378541237748,-0.05082956979782976,-0.01847925361400926,1000
videofeedback,A_original_calibration_to_perturbed_test,R3_resize_half_restore,R0_original,auc,0.007740000000000025,0.0078792,-0.0008639999999999954,0.01776349999999996,1000
videofeedback,A_original_calibration_to_perturbed_test,R3_resize_half_restore,R0_original,real_positive_ap,0.004714489632883667,0.004921826708115375,-0.004390503111287597,0.014712131515362742,1000
videofeedback,A_original_calibration_to_perturbed_test,R4_drop10,R0_original,auc,-0.0023599999999999732,-0.0022460200000000013,-0.007521999999999983,0.002939999999999965,1000
videofeedback,A_original_calibration_to_perturbed_test,R4_drop10,R0_original,real_positive_ap,-0.0006823949514619509,-0.0006671184896435515,-0.006656980354547536,0.005774415763262569,1000
videofeedback,A_original_calibration_to_perturbed_test,R5_drop25,R0_original,auc,-0.0015199999999999658,-0.0014747000000000017,-0.00816100000000001,0.005182000000000004,1000
videofeedback,A_original_calibration_to_perturbed_test,R5_drop25,R0_original,real_positive_ap,-0.0017913955624879296,-0.0016833424221584252,-0.008670910918075361,0.00508816313476274,1000
videofeedback,A_original_calibration_to_perturbed_test,R6_repeat10,R0_original,auc,0.0017000000000000238,0.0018703599999999986,-0.01566949999999995,0.02393349999999995,1000
videofeedback,A_original_calibration_to_perturbed_test,R6_repeat10,R0_original,real_positive_ap,-0.003178130681242397,-0.0028840207366243316,-0.017570014533930915,0.011764408418915575,1000
videofeedback,A_original_calibration_to_perturbed_test,R7_repeat25,R0_original,auc,-0.04159999999999999,-0.04207376,-0.07854500000000002,-0.008316499999999985,1000
videofeedback,A_original_calibration_to_perturbed_test,R7_repeat25,R0_original,real_positive_ap,-0.03394407203299671,-0.03377295487441578,-0.06411625779295511,-0.006851193435497522,1000
videofeedback,A_original_calibration_to_perturbed_test,R8_scene_cut,R0_original,auc,0.059320000000000005,0.05896832,0.017297499999999993,0.11389349999999997,1000
videofeedback,A_original_calibration_to_perturbed_test,R8_scene_cut,R0_original,real_positive_ap,0.043105708462487166,0.042170012692111326,0.012768269436510875,0.07742857034300317,1000
videofeedback,A_original_calibration_to_perturbed_test,R9_4fps,R0_original,auc,-0.003259999999999941,-0.0034558800000000015,-0.016487499999999985,0.010265999999999996,1000
videofeedback,A_original_calibration_to_perturbed_test,R9_4fps,R0_original,real_positive_ap,-0.007024995901857167,-0.006852870530373217,-0.01860948884461406,0.004773972031907249,1000
