dataset,metric,delta,source_groups,generator_cells
comgenvid,auc,0.01456124969618211,2487.0,2.0
comgenvid,ap_real,0.015799280054289322,2487.0,2.0
genvideo,auc,0.02913266117451907,8365.0,10.0
genvideo,ap_real,0.03334870674453053,8365.0,10.0
videofeedback,auc,-0.016498725431596372,3514.0,11.0
videofeedback,ap_real,-0.009825356292484317,3514.0,11.0
Macro-3,auc,0.009065061813034936,,
Macro-3,ap_real,0.013107543502111846,,
Average,auc,0.0060418752778258625,,
Average,ap_real,0.011174204710285063,,
