dataset,metric,delta,source_groups,generator_cells
comgenvid,auc,0.04922842644629738,2487.0,2.0
comgenvid,ap_real,0.049394481166724014,2487.0,2.0
genvideo,auc,0.0408512934954736,8365.0,10.0
genvideo,ap_real,0.04748919365710692,8365.0,10.0
videofeedback,auc,-0.0028793510688409126,3514.0,11.0
videofeedback,ap_real,0.0030253598913763213,3514.0,11.0
Macro-3,auc,0.029066789624310026,,
Macro-3,ap_real,0.033303011571735756,,
Average,auc,0.02066508374304699,,
Average,ap_real,0.02638955903085464,,
