dataset,metric,delta,source_groups,generator_cells
comgenvid,auc,0.0077392969280906665,2487.0,2.0
comgenvid,ap_real,0.00773857347447543,2487.0,2.0
genvideo,auc,0.012120273147695326,8365.0,10.0
genvideo,ap_real,0.01665968346721165,8365.0,10.0
videofeedback,auc,-0.000282170612231872,3514.0,11.0
videofeedback,ap_real,0.003301002946012281,3514.0,11.0
Macro-3,auc,0.006525799821184707,,
Macro-3,ap_real,0.00923308662923312,,
Average,auc,0.005807715156460174,,
Average,ap_real,0.009495000609878368,,
