dataset,metric,delta,source_groups,generator_cells
comgenvid,auc,0.005571648950154107,2487.0,2.0
comgenvid,ap_real,0.0049773360707483505,2487.0,2.0
genvideo,auc,0.004057178683693485,8365.0,10.0
genvideo,ap_real,0.005956609667134971,8365.0,10.0
videofeedback,auc,0.007428148655573023,3514.0,11.0
videofeedback,ap_real,0.010730933880855907,3514.0,11.0
Macro-3,auc,0.005685658763140204,,
Macro-3,ap_real,0.007221626539579743,,
Average,auc,0.005801074780371579,,
Average,ap_real,0.008154827891402669,,
