dataset,metric,delta,source_groups,generator_cells
comgenvid,auc,0.016939400102182034,2487.0,2.0
comgenvid,ap_real,0.012840688406619005,2487.0,2.0
genvideo,auc,0.00940788839944059,8365.0,10.0
genvideo,ap_real,0.00803978573485652,8365.0,10.0
videofeedback,auc,0.0019797241963347423,3514.0,11.0
videofeedback,ap_real,-0.004866698673287414,3514.0,11.0
Macro-3,auc,0.009442337565985788,,
Macro-3,ap_real,0.005337925156062704,,
Average,auc,0.006510202189497919,,
Average,ap_real,0.0022845890763322457,,
