comparison,candidate,baseline,scope,dataset,metric,delta_mean,ci95_low,ci95_high,bootstrap_iterations
real_anomaly:crossfit_vs_standard_mean,real_anomaly__mean__crossfit5,real_anomaly__mean__standard,generator_pairwise_dataset_macro,videofeedback,auc,0.0025892694444444443,0.002154916666666663,0.003038430555555576,1000
real_anomaly:crossfit_vs_standard_mean,real_anomaly__mean__crossfit5,real_anomaly__mean__standard,generator_pairwise_dataset_macro,videofeedback,ap_real,0.0027968682975394246,0.002158806545805119,0.0035004678728995943,1000
real_anomaly:crossfit_vs_standard_cvar10,real_anomaly__cvar_10__crossfit5,real_anomaly__cvar_10__standard,generator_pairwise_dataset_macro,videofeedback,auc,0.002837885555555557,0.002362458333333314,0.00337680555555554,1000
real_anomaly:crossfit_vs_standard_cvar10,real_anomaly__cvar_10__crossfit5,real_anomaly__cvar_10__standard,generator_pairwise_dataset_macro,videofeedback,ap_real,0.0033607011019755662,0.0025203559954254046,0.004223913240130262,1000
uniform:cvar10_vs_mean,uniform__cvar_10__standard,uniform__mean__standard,generator_pairwise_macro3,Macro-3,auc,-0.012865725187424883,-0.014242654162774706,-0.011514469624543597,1000
uniform:cvar10_vs_mean,uniform__cvar_10__standard,uniform__mean__standard,generator_pairwise_macro3,Macro-3,ap_real,-0.011970012258701021,-0.013430333336614564,-0.010368667184393717,1000
feature_change:cvar10_vs_mean,feature_change__cvar_10__standard,feature_change__mean__standard,generator_pairwise_macro3,Macro-3,auc,-0.014721893010829096,-0.016201263598090935,-0.01324217195858832,1000
feature_change:cvar10_vs_mean,feature_change__cvar_10__standard,feature_change__mean__standard,generator_pairwise_macro3,Macro-3,ap_real,-0.014697178568494215,-0.01631635829773272,-0.013116344609867285,1000
real_anomaly:cvar10_vs_mean,real_anomaly__cvar_10__standard,real_anomaly__mean__standard,generator_pairwise_macro3,Macro-3,auc,-0.012394822395564659,-0.013876818934256201,-0.010783669065463311,1000
real_anomaly:cvar10_vs_mean,real_anomaly__cvar_10__standard,real_anomaly__mean__standard,generator_pairwise_macro3,Macro-3,ap_real,-0.011377029480893539,-0.012895449804348333,-0.009794539127976511,1000
real_anomaly:crossfit_vs_standard_mean,real_anomaly__mean__crossfit5,real_anomaly__mean__standard,generator_pairwise_macro3,Macro-3,auc,0.0023963633575491013,0.0019640978056133344,0.0028404073140995095,1000
real_anomaly:crossfit_vs_standard_mean,real_anomaly__mean__crossfit5,real_anomaly__mean__standard,generator_pairwise_macro3,Macro-3,ap_real,0.002296247797601061,0.001747537829493277,0.00283439392433968,1000
real_anomaly:crossfit_vs_standard_cvar10,real_anomaly__cvar_10__crossfit5,real_anomaly__cvar_10__standard,generator_pairwise_macro3,Macro-3,auc,0.0022682559425465446,0.001772816730010745,0.0027790210244436737,1000
real_anomaly:crossfit_vs_standard_cvar10,real_anomaly__cvar_10__crossfit5,real_anomaly__cvar_10__standard,generator_pairwise_macro3,Macro-3,ap_real,0.0020804409396943946,0.0014913268885760683,0.002653576938484664,1000
