Generative Model,n_real,n_annotated,n_total,patch_final_score AUC,patch_final_score AP
AnimateDiff,1398.0,1398.0,2796.0,0.745569493308446,0.7447306647565249
Fast-SVD,1000.0,1000.0,2000.0,0.8411474999999999,0.8485039364539675
LVDM,3172.0,3172.0,6344.0,0.7092728639943772,0.7193943122005876
LaVie-base,3214.0,3214.0,6428.0,0.7614982425596788,0.7381287114660702
ModelScope,4080.0,4080.0,8160.0,0.7485659061418686,0.7535784102758625
Pika,4080.0,4080.0,8160.0,0.7815241433583237,0.8056816977455574
SoRA-Clip,920.0,920.0,1840.0,0.7694618383742912,0.7534246099982822
Text2Video-Zero,4080.0,4080.0,8160.0,0.547913212466359,0.5345147013491973
VideoCrafter2,4080.0,4080.0,8160.0,0.8689892108804307,0.8862599098198023
ZeroScope-576w,2178.0,2178.0,4356.0,0.7595107515593365,0.7669544242186941
Average,2820.2,2820.2,5640.4,0.7533453162643111,0.7551171378284546
