Generative Model,n_real,n_annotated,n_total,patch_final_score AUC,patch_final_score AP
AnimateDiff,1398.0,1398.0,2796.0,0.7789940053335953,0.7703651242646572
Fast-SVD,1000.0,1000.0,2000.0,0.8514455000000001,0.8680769991268251
LVDM,3172.0,3172.0,6344.0,0.7864504237106206,0.7917309156490844
LaVie-base,3214.0,3214.0,6428.0,0.7805493932309989,0.7630092030904322
ModelScope,4080.0,4080.0,8160.0,0.8147275987600923,0.8161597308419637
Pika,4080.0,4080.0,8160.0,0.8202906033737025,0.8454157545644185
SoRA-Clip,920.0,920.0,1840.0,0.7763250236294896,0.7566197172717338
Text2Video-Zero,4080.0,4080.0,8160.0,0.6241988357843137,0.6056058905660465
VideoCrafter2,4080.0,4080.0,8160.0,0.8612341106785851,0.880780692707049
ZeroScope-576w,2178.0,2178.0,4356.0,0.8465863240468801,0.8485323325524057
Average,2820.2,2820.2,5640.4,0.7940801818548278,0.7946296360634616
