Generative Model,n_real,n_annotated,n_total,patch_final_score AUC,patch_final_score AP
Crafter,188.0,188.0,376.0,0.7724932095971028,0.7692224479358074
Gen2,1380.0,1380.0,2760.0,0.8509548939298466,0.8742585228993782
Lavie,1400.0,1400.0,2800.0,0.8115788265306123,0.8072914912857538
ModelScope,700.0,700.0,1400.0,0.7700183673469387,0.7734449674084428
MorphStudio,700.0,700.0,1400.0,0.7487183673469389,0.7431756541748831
Show_1,700.0,700.0,1400.0,0.7989132653061225,0.8006053132005813
Sora,56.0,56.0,112.0,0.8456632653061225,0.8797034384435064
WildScrape,515.0,515.0,1030.0,0.7163314167216515,0.6797147031143951
Average,704.875,704.875,1409.75,0.789333951510667,0.7909270673078435
