operator,evaluation_videos,final_score_max_abs_error,final_score_changed_videos,rank_changed_videos,max_absolute_rank_change,batch4_auc,batch8_auc,delta_auc_batch8_minus_batch4,batch4_ap,batch8_ap,delta_ap_batch8_minus_batch4
layer23_region1_mean,3500,0.06760563380281692,14,396,213.5,0.8622572222222222,0.8623305555555556,7.333333333336967e-05,0.8684111477215204,0.8685274633597709,0.00011631563825054148
layer17_region1_mean,3500,0.06478873239436622,64,1026,388.5,0.8435522222222221,0.8436244444444444,7.222222222225128e-05,0.8500694459716958,0.8501973061964065,0.00012786022471078518
