operator,dataset,protocol_split,subset,source_model,filename,window_id,batch8_raw,batch4_raw,float64_raw,float64_abs_error_vs_batch8,float64_abs_error_vs_batch4,batch8_percentile,batch4_percentile,float64_percentile
layer23_region1_mean,videofeedback,evaluation,annotated,ZeroScope-576w,8000861.mp4,2,-1402.9139404296875,-1322.309326171875,-1322.3086590074445,80.60528142224302,0.0006671644305242808,0.9399999976158142,1.0,1.0
layer23_region1_mean,videofeedback,evaluation,annotated,SoRA-Clip,s000025.mp4,2,-1477.32470703125,-1436.491943359375,-1436.4918948039121,40.832812227337854,4.8555462853983045e-05,0.05999999865889549,0.6549999713897705,0.655
layer23_region1_mean,videofeedback,evaluation,annotated,ZeroScope-576w,8002801.mp4,2,-1432.0322265625,-1347.654052734375,-1347.654149892272,84.37807667022798,9.71578970165865e-05,0.7200000286102295,1.0,1.0
layer17_region1_mean,videofeedback,evaluation,annotated,ZeroScope-576w,8000861.mp4,2,-1397.0894775390625,-1303.4803466796875,-1303.4789509915158,93.61052654754667,0.0013956881716694625,0.7350000143051147,0.9900000095367432,0.99
layer17_region1_mean,videofeedback,evaluation,annotated,SoRA-Clip,s000025.mp4,2,-1372.313232421875,-1327.000732421875,-1327.0008082827383,45.31242413913674,7.586086326227814e-05,0.8450000286102295,0.9350000023841858,0.935
layer17_region1_mean,videofeedback,evaluation,annotated,ZeroScope-576w,8002801.mp4,2,-1442.5146484375,-1346.114013671875,-1346.1140951123748,96.4005533251252,8.144049979819101e-05,0.42500001192092896,0.9150000214576721,0.915
