dataset,comparison,n_boot,delta_auc_mean,delta_auc_ci_low,delta_auc_ci_high,delta_ap_mean,delta_ap_ci_low,delta_ap_ci_high
comgenvid,alpha_minus_global,500,0.06687550294117647,0.06177149005190313,0.07139622188581306,0.06594876848677586,0.06085032701394205,0.0707999097062793
comgenvid,alpha_minus_patch,500,-0.00760668200692042,-0.010853120674740587,-0.004579098183391145,-0.00992966499443935,-0.013543253175746681,-0.0066234042639844075
comgenvid,patch_minus_global,500,0.07448218494809689,0.06692157439446365,0.08154980536332182,0.07587843348121522,0.06812510673370713,0.0834904482282721
videofeedback,alpha_minus_global,500,0.015335219519595895,0.012741002105949653,0.017905180644193393,0.013687429830661199,0.011677084802239687,0.015680076215737
videofeedback,alpha_minus_patch,500,0.03942911636660149,0.03800925828468129,0.040953198249184745,0.04418443156457916,0.041972611251586876,0.04656214819358871
videofeedback,patch_minus_global,500,-0.0240938968470056,-0.02788074796725242,-0.020304041254279363,-0.030497001733917957,-0.03442100648612412,-0.02662075797689586
genvideo,alpha_minus_global,500,0.034433352550397964,0.026636177613119445,0.04328550909724289,0.03294440838764875,0.025607829945023107,0.040848496108262765
genvideo,alpha_minus_patch,500,0.030182460199662246,0.023813572851635968,0.03557791582707793,0.01961317320195043,0.010499195283426575,0.027970171212619657
genvideo,patch_minus_global,500,0.004250892350735715,-0.00774142539126601,0.017672868979434694,0.013331235185698315,-0.00026470794683843544,0.028544312235719814
