dataset,variant,window_frames,role,group,nominal_real_fpr,threshold,threshold_n,n,count,rate,ci95_low,ci95_high,reference_real_fpr
comgenvid,full,16,real,all_real,0.001,0.018875750750750753,2000,898,1,0.0011135857461024498,0.00019660228203867728,0.006280654627765395,0.001
comgenvid,full,16,real,MSVD,0.001,0.018875750750750753,2000,898,1,0.0011135857461024498,0.00019660228203867728,0.006280654627765395,0.001
comgenvid,full,16,fake,Sora,0.001,0.018875750750750753,2000,898,79,0.08797327394209355,0.07115839221557194,0.10829827085725732,0.001
comgenvid,full,16,fake,VEO3,0.001,0.018875750750750753,2000,898,98,0.1091314031180401,0.09037832878034119,0.1312143434860455,0.001
comgenvid,full,16,real,all_real,0.01,0.040774024024024025,2000,898,3,0.0033407572383073497,0.0011367953648031576,0.009775830933796432,0.01
comgenvid,full,16,real,MSVD,0.01,0.040774024024024025,2000,898,3,0.0033407572383073497,0.0011367953648031576,0.009775830933796432,0.01
comgenvid,full,16,fake,Sora,0.01,0.040774024024024025,2000,898,185,0.20601336302895323,0.1808399834148245,0.23369125726416723,0.01
comgenvid,full,16,fake,VEO3,0.01,0.040774024024024025,2000,898,197,0.21937639198218262,0.19353689476900943,0.2476065622427554,0.01
comgenvid,global_d2_target,16,real,all_real,0.001,0.012335835835835834,2000,898,2,0.0022271714922048997,0.0006109833813997359,0.008083958222802095,0.001
comgenvid,global_d2_target,16,real,MSVD,0.001,0.012335835835835834,2000,898,2,0.0022271714922048997,0.0006109833813997359,0.008083958222802095,0.001
comgenvid,global_d2_target,16,fake,Sora,0.001,0.012335835835835834,2000,898,52,0.05790645879732739,0.044429903898846476,0.0751492724252433,0.001
comgenvid,global_d2_target,16,fake,VEO3,0.001,0.012335835835835834,2000,898,79,0.08797327394209355,0.07115839221557194,0.10829827085725732,0.001
comgenvid,global_d2_target,16,real,all_real,0.01,0.03455467967967968,2000,898,4,0.004454342984409799,0.0017335294583041335,0.011396781534693213,0.01
comgenvid,global_d2_target,16,real,MSVD,0.01,0.03455467967967968,2000,898,4,0.004454342984409799,0.0017335294583041335,0.011396781534693213,0.01
comgenvid,global_d2_target,16,fake,Sora,0.01,0.03455467967967968,2000,898,186,0.2071269487750557,0.18189643143314382,0.23485249394024565,0.01
comgenvid,global_d2_target,16,fake,VEO3,0.01,0.03455467967967968,2000,898,198,0.22048997772828507,0.19459685148125103,0.24876429022491156,0.01
comgenvid,global_d2_target_only,16,real,all_real,0.001,0.0005005005005005005,2000,898,0,0.0,4.336808689942018e-19,0.004259572215406312,0.0
comgenvid,global_d2_target_only,16,real,MSVD,0.001,0.0005005005005005005,2000,898,0,0.0,4.336808689942018e-19,0.004259572215406312,0.0
comgenvid,global_d2_target_only,16,fake,Sora,0.001,0.0005005005005005005,2000,898,18,0.0200445434298441,0.01271615021608166,0.03146174649848431,0.0
comgenvid,global_d2_target_only,16,fake,VEO3,0.001,0.0005005005005005005,2000,898,14,0.015590200445434299,0.009309131232202356,0.025998026704772578,0.0
comgenvid,global_d2_target_only,16,real,all_real,0.01,0.012012012012012012,2000,898,3,0.0033407572383073497,0.0011367953648031576,0.009775830933796432,0.01
comgenvid,global_d2_target_only,16,real,MSVD,0.01,0.012012012012012012,2000,898,3,0.0033407572383073497,0.0011367953648031576,0.009775830933796432,0.01
comgenvid,global_d2_target_only,16,fake,Sora,0.01,0.012012012012012012,2000,898,155,0.17260579064587972,0.1492967627887251,0.19870393705833383,0.01
comgenvid,global_d2_target_only,16,fake,VEO3,0.01,0.012012012012012012,2000,898,145,0.16146993318485522,0.13885336619713776,0.1869704867059436,0.01
comgenvid,global_d2_target_raw,16,real,all_real,0.001,-1916.2113383256221,2000,898,0,0.0,4.336808689942018e-19,0.004259572215406312,0.001
comgenvid,global_d2_target_raw,16,real,MSVD,0.001,-1916.2113383256221,2000,898,0,0.0,4.336808689942018e-19,0.004259572215406312,0.001
comgenvid,global_d2_target_raw,16,fake,Sora,0.001,-1916.2113383256221,2000,898,58,0.0645879732739421,0.05029372045006207,0.08259156404041425,0.001
comgenvid,global_d2_target_raw,16,fake,VEO3,0.001,-1916.2113383256221,2000,898,59,0.06570155902004454,0.0512758744208964,0.08382709476397768,0.001
comgenvid,global_d2_target_raw,16,real,all_real,0.01,-1855.393045929569,2000,898,3,0.0033407572383073497,0.0011367953648031576,0.009775830933796432,0.01
comgenvid,global_d2_target_raw,16,real,MSVD,0.01,-1855.393045929569,2000,898,3,0.0033407572383073497,0.0011367953648031576,0.009775830933796432,0.01
comgenvid,global_d2_target_raw,16,fake,Sora,0.01,-1855.393045929569,2000,898,155,0.17260579064587972,0.1492967627887251,0.19870393705833383,0.01
comgenvid,global_d2_target_raw,16,fake,VEO3,0.01,-1855.393045929569,2000,898,145,0.16146993318485522,0.13885336619713776,0.1869704867059436,0.01
comgenvid,global_only,16,real,all_real,0.001,0.018583333333333334,2000,898,1,0.0011135857461024498,0.00019660228203867728,0.006280654627765395,0.001
comgenvid,global_only,16,real,MSVD,0.001,0.018583333333333334,2000,898,1,0.0011135857461024498,0.00019660228203867728,0.006280654627765395,0.001
comgenvid,global_only,16,fake,Sora,0.001,0.018583333333333334,2000,898,45,0.05011135857461024,0.03766005914726057,0.0663953243160449,0.001
comgenvid,global_only,16,fake,VEO3,0.001,0.018583333333333334,2000,898,80,0.08908685968819599,0.07216287199404028,0.10951147577318673,0.001
comgenvid,global_only,16,real,all_real,0.01,0.041166666666666664,2000,898,4,0.004454342984409799,0.0017335294583041335,0.011396781534693213,0.01
comgenvid,global_only,16,real,MSVD,0.01,0.041166666666666664,2000,898,4,0.004454342984409799,0.0017335294583041335,0.011396781534693213,0.01
comgenvid,global_only,16,fake,Sora,0.01,0.041166666666666664,2000,898,151,0.16815144766146994,0.1451147803032473,0.19401518076622068,0.01
comgenvid,global_only,16,fake,VEO3,0.01,0.041166666666666664,2000,898,187,0.20824053452115812,0.18295318117646817,0.23601342889131907,0.01
comgenvid,global_source_local_source,16,real,all_real,0.001,0.019250500500500502,2000,898,26,0.028953229398663696,0.019833884264571323,0.04208549000517672,0.001
comgenvid,global_source_local_source,16,real,MSVD,0.001,0.019250500500500502,2000,898,26,0.028953229398663696,0.019833884264571323,0.04208549000517672,0.001
comgenvid,global_source_local_source,16,fake,Sora,0.001,0.019250500500500502,2000,898,183,0.20378619153674832,0.17872799977119858,0.23136787151899763,0.001
comgenvid,global_source_local_source,16,fake,VEO3,0.001,0.019250500500500502,2000,898,274,0.3051224944320713,0.2758890680617015,0.3360161104186908,0.001
comgenvid,global_source_local_source,16,real,all_real,0.01,0.051309934934934937,2000,898,67,0.07461024498886415,0.059177534916577144,0.093666911823479,0.01
comgenvid,global_source_local_source,16,real,MSVD,0.01,0.051309934934934937,2000,898,67,0.07461024498886415,0.059177534916577144,0.093666911823479,0.01
comgenvid,global_source_local_source,16,fake,Sora,0.01,0.051309934934934937,2000,898,394,0.43875278396436523,0.40662567131948674,0.4714016704886365,0.01
comgenvid,global_source_local_source,16,fake,VEO3,0.01,0.051309934934934937,2000,898,522,0.5812917594654788,0.5487451154044818,0.6131458672865546,0.01
