dataset,generator,n_real,n_fake,auc,real_positive_ap,fake_positive_ap,fake_tpr_at_0_1pct_real_fpr,fake_tpr_at_1pct_real_fpr,real_fpr_at_95pct_fake_tpr,variant,method,observation
videofeedback,LVDM,276,276,0.8786888258769168,0.9038565665667735,0.8329852747142448,0.018115942028985508,0.05434782608695652,0.35507246376811596,global_only,去Local,fc3
videofeedback,LaVie-base,258,258,0.8173637401598461,0.8444406633349955,0.7778220696795994,0.04263565891472868,0.06201550387596899,0.5813953488372093,global_only,去Local,fc3
videofeedback,ModelScope,246,246,0.7932943353823783,0.8090181386733837,0.7480385612250131,0.008130081300813009,0.032520325203252036,0.5853658536585366,global_only,去Local,fc3
videofeedback,Pika,132,132,0.8147669880624426,0.8369036990530194,0.7767948829313297,0.07575757575757576,0.09090909090909091,0.5909090909090909,global_only,去Local,fc3
videofeedback,SoRA-Clip,290,290,0.7609750297265161,0.7669653306576515,0.751160539219869,0.04827586206896552,0.09655172413793103,0.7379310344827587,global_only,去Local,fc3
videofeedback,Text2Video-Zero,296,296,0.7934509678597516,0.8034899336831021,0.7618095024816608,0.04391891891891892,0.07432432432432433,0.6655405405405406,global_only,去Local,fc3
videofeedback,VideoCrafter2,232,232,0.9367382580261593,0.9485240687521426,0.9249277126789434,0.15948275862068967,0.28879310344827586,0.23275862068965517,global_only,去Local,fc3
videofeedback,ZeroScope-576w,276,276,0.7396817895400125,0.7915261055010709,0.6727769281591133,0.007246376811594203,0.025362318840579712,0.6159420289855072,global_only,去Local,fc3
comgenvid,Sora,898,898,0.8782068293312036,0.8769522182590208,0.8847175563661278,0.09910913140311804,0.2984409799554566,0.5311804008908686,local_only,去Global,fc3
comgenvid,VEO3,898,898,0.9155274527408098,0.9175953543940418,0.9143115035756443,0.10133630289532294,0.3195991091314031,0.3819599109131403,local_only,去Global,fc3
genvideo,Crafter,188,188,0.8408782254413762,0.8237101861249313,0.8558275234271547,0.17553191489361702,0.26063829787234044,0.6436170212765957,local_only,去Global,fc3
genvideo,Gen2,1380,1380,0.9299249107330394,0.9392206810184296,0.9188149079612681,0.01884057971014493,0.3188405797101449,0.2768115942028985,local_only,去Global,fc3
genvideo,HotShot,700,700,0.7662,0.758896849997574,0.7655439036790177,0.002857142857142857,0.054285714285714284,0.7614285714285715,local_only,去Global,fc3
genvideo,Lavie,1400,1400,0.8207145408163266,0.8111040651854812,0.8246582290139017,0.03142857142857143,0.20357142857142857,0.6392857142857142,local_only,去Global,fc3
genvideo,ModelScope,700,700,0.8753591836734693,0.8653134311807344,0.8839194556829583,0.03142857142857143,0.3657142857142857,0.5614285714285714,local_only,去Global,fc3
genvideo,MoonValley,626,626,0.8681559983260012,0.876345868270464,0.847762737643671,0.0,0.06869009584664537,0.46645367412140576,local_only,去Global,fc3
genvideo,MorphStudio,700,700,0.8409734693877551,0.829649619412641,0.8507059836999524,0.06285714285714286,0.28285714285714286,0.6457142857142857,local_only,去Global,fc3
genvideo,Show_1,700,700,0.8358040816326532,0.8167778202617773,0.8473576786135398,0.025714285714285714,0.3028571428571429,0.6828571428571428,local_only,去Global,fc3
genvideo,Sora,56,56,0.9303252551020408,0.9282766056997853,0.9351114473383811,0.39285714285714285,0.39285714285714285,0.39285714285714285,local_only,去Global,fc3
genvideo,WildScrape,515,515,0.8026863983410313,0.7519976959975367,0.8241882887592136,0.02330097087378641,0.21941747572815534,0.7553398058252427,local_only,去Global,fc3
videofeedback,AnimateDiff,218,218,0.75037875599697,0.7626556345551694,0.7136658497039035,0.009174311926605505,0.04128440366972477,0.7522935779816514,local_only,去Global,fc3
videofeedback,Fast-SVD,290,290,0.8318668252080856,0.8729638907659505,0.7535614226439652,0.0034482758620689655,0.0034482758620689655,0.43103448275862066,local_only,去Global,fc3
videofeedback,Hotshot-XL,500,500,0.7116359999999999,0.74242230085009,0.6716623067634704,0.014,0.042,0.702,local_only,去Global,fc3
videofeedback,LVDM,276,276,0.8234811489182947,0.8419058881801624,0.786557078499994,0.014492753623188406,0.014492753623188406,0.5978260869565217,local_only,去Global,fc3
videofeedback,LaVie-base,258,258,0.7183913226368607,0.7325250286364344,0.6823621635818913,0.003875968992248062,0.003875968992248062,0.7248062015503876,local_only,去Global,fc3
videofeedback,ModelScope,246,246,0.7500826227774473,0.7462719597644383,0.7513224429426891,0.052845528455284556,0.052845528455284556,0.7032520325203252,local_only,去Global,fc3
videofeedback,Pika,132,132,0.8681416437098255,0.886177525871366,0.8282720799110201,0.0,0.0,0.4090909090909091,local_only,去Global,fc3
videofeedback,SoRA-Clip,290,290,0.7203923900118907,0.7240991953918435,0.6907120185173152,0.0,0.0,0.7931034482758621,local_only,去Global,fc3
videofeedback,Text2Video-Zero,296,296,0.5841570032870709,0.617024741642519,0.5806841960009304,0.016891891891891893,0.016891891891891893,0.8378378378378378,local_only,去Global,fc3
videofeedback,VideoCrafter2,232,232,0.7933728448275862,0.8133497159878285,0.7425336576663678,0.004310344827586207,0.004310344827586207,0.5172413793103449,local_only,去Global,fc3
videofeedback,ZeroScope-576w,276,276,0.8047810333963453,0.7740320493903885,0.8084108134251604,0.03985507246376811,0.03985507246376811,0.717391304347826,local_only,去Global,fc3
comgenvid,Sora,898,898,0.8948417914593678,0.8970031627328342,0.8976738091905853,0.04788418708240535,0.34075723830734966,0.4220489977728285,without_gs,去Global空间,fc3
comgenvid,VEO3,898,898,0.9095323187881011,0.91460128336316,0.9082183870834712,0.036748329621380846,0.3273942093541203,0.3730512249443207,without_gs,去Global空间,fc3
genvideo,Crafter,188,188,0.8609382073336352,0.8307369387784356,0.8713113323098902,0.12234042553191489,0.14893617021276595,0.6170212765957447,without_gs,去Global空间,fc3
genvideo,Gen2,1380,1380,0.9240795001050199,0.9308611747180765,0.9172931636356627,0.06159420289855073,0.2710144927536232,0.2985507246376812,without_gs,去Global空间,fc3
genvideo,HotShot,700,700,0.8168183673469387,0.8056900120567482,0.8106401210374579,0.0,0.16428571428571428,0.6828571428571428,without_gs,去Global空间,fc3
genvideo,Lavie,1400,1400,0.8642826530612244,0.8552840432369826,0.862822242849508,0.04642857142857143,0.22214285714285714,0.5078571428571429,without_gs,去Global空间,fc3
genvideo,ModelScope,700,700,0.8562734693877552,0.8486307806746061,0.8607459401582459,0.12428571428571429,0.20714285714285716,0.5642857142857143,without_gs,去Global空间,fc3
genvideo,MoonValley,626,626,0.8138837285263705,0.8331080668415695,0.7777142145995011,0.0,0.06549520766773163,0.5718849840255591,without_gs,去Global空间,fc3
genvideo,MorphStudio,700,700,0.8600153061224489,0.8514263841060513,0.8629831234102907,0.13142857142857142,0.21142857142857144,0.5385714285714286,without_gs,去Global空间,fc3
genvideo,Show_1,700,700,0.8492020408163264,0.8202699922531329,0.8585903284254361,0.14,0.23142857142857143,0.66,without_gs,去Global空间,fc3
genvideo,Sora,56,56,0.9190051020408163,0.9239845498593389,0.9242896455574886,0.5178571428571429,0.5178571428571429,0.35714285714285715,without_gs,去Global空间,fc3
genvideo,WildScrape,515,515,0.7639928362710906,0.6761605109765387,0.8027924402234368,0.09514563106796116,0.1553398058252427,0.9184466019417475,without_gs,去Global空间,fc3
videofeedback,AnimateDiff,218,218,0.8278974833768201,0.8350733846207028,0.8121074715891363,0.05963302752293578,0.08256880733944955,0.6330275229357798,without_gs,去Global空间,fc3
videofeedback,Fast-SVD,290,290,0.9157431629013079,0.9285931300702653,0.9001731282411345,0.13793103448275862,0.17586206896551723,0.3,without_gs,去Global空间,fc3
videofeedback,Hotshot-XL,500,500,0.780484,0.7973371381860205,0.741586680373259,0.016,0.056,0.638,without_gs,去Global空间,fc3
videofeedback,LVDM,276,276,0.9003820100819155,0.9056831834822897,0.8826479038600102,0.07608695652173914,0.10144927536231885,0.4057971014492754,without_gs,去Global空间,fc3
videofeedback,LaVie-base,258,258,0.8236208761492698,0.8322125798272726,0.8167772293413204,0.09689922480620156,0.11627906976744186,0.5852713178294574,without_gs,去Global空间,fc3
videofeedback,ModelScope,246,246,0.8339530041641879,0.8327757378146518,0.832768856255429,0.11382113821138211,0.13414634146341464,0.5691056910569106,without_gs,去Global空间,fc3
videofeedback,Pika,132,132,0.8788452708907254,0.8908082466515619,0.8656808047133262,0.12878787878787878,0.12878787878787878,0.4090909090909091,without_gs,去Global空间,fc3
videofeedback,SoRA-Clip,290,290,0.7797502972651604,0.7804488939486444,0.7796370280857543,0.08620689655172414,0.11724137931034483,0.6724137931034483,without_gs,去Global空间,fc3
videofeedback,Text2Video-Zero,296,296,0.734169558071585,0.7404313798670976,0.7231368981659794,0.057432432432432436,0.07432432432432433,0.7635135135135135,without_gs,去Global空间,fc3
videofeedback,VideoCrafter2,232,232,0.9106253715814506,0.9199015251894469,0.9015231189733689,0.1724137931034483,0.2413793103448276,0.36637931034482757,without_gs,去Global空间,fc3
videofeedback,ZeroScope-576w,276,276,0.8675567107750471,0.8700606200701834,0.8655008623474321,0.10507246376811594,0.15942028985507245,0.5217391304347826,without_gs,去Global空间,fc3
comgenvid,Sora,898,898,0.8995999523811886,0.90661571463067,0.8911348365163201,0.051224944320712694,0.22717149220489977,0.4153674832962138,without_gt,去Global时序,fc3
comgenvid,VEO3,898,898,0.9327582700482636,0.9403504006099501,0.9237330112656135,0.07126948775055679,0.2817371937639198,0.2795100222717149,without_gt,去Global时序,fc3
genvideo,Crafter,188,188,0.9040289723856949,0.8992547916017265,0.911918229779759,0.2765957446808511,0.34574468085106386,0.39361702127659576,without_gt,去Global时序,fc3
genvideo,Gen2,1380,1380,0.9592664356227683,0.9664716638563021,0.9459901775626771,0.02318840579710145,0.2543478260869565,0.15434782608695652,without_gt,去Global时序,fc3
genvideo,HotShot,700,700,0.8168795918367346,0.8190990365727433,0.8004618936297744,0.01,0.09571428571428571,0.6428571428571429,without_gt,去Global时序,fc3
genvideo,Lavie,1400,1400,0.8897640306122448,0.888187451846699,0.8850096852636485,0.03,0.21285714285714286,0.4542857142857143,without_gt,去Global时序,fc3
genvideo,ModelScope,700,700,0.8922040816326531,0.8934932005559995,0.8873855472456247,0.017142857142857144,0.2571428571428571,0.4514285714285714,without_gt,去Global时序,fc3
genvideo,MoonValley,626,626,0.917337372025845,0.9326210259448862,0.888070284525855,0.004792332268370607,0.1182108626198083,0.2795527156549521,without_gt,去Global时序,fc3
genvideo,MorphStudio,700,700,0.886,0.8849908148032328,0.8838067684028637,0.017142857142857144,0.2757142857142857,0.49,without_gt,去Global时序,fc3
genvideo,Show_1,700,700,0.8840448979591837,0.8668894949983658,0.8865692920424274,0.012857142857142857,0.2814285714285714,0.55,without_gt,去Global时序,fc3
genvideo,Sora,56,56,0.961734693877551,0.9662038266410985,0.9624325354394563,0.6428571428571429,0.6428571428571429,0.19642857142857142,without_gt,去Global时序,fc3
genvideo,WildScrape,515,515,0.8207785842209446,0.7653629232077571,0.8446591753959847,0.013592233009708738,0.2737864077669903,0.8097087378640777,without_gt,去Global时序,fc3
videofeedback,AnimateDiff,218,218,0.8096751115225992,0.8356605837215862,0.7520241606809193,0.013761467889908258,0.01834862385321101,0.6009174311926605,without_gt,去Global时序,fc3
videofeedback,Fast-SVD,290,290,0.8855172413793102,0.9073853270999704,0.8413448468240162,0.027586206896551724,0.034482758620689655,0.3310344827586207,without_gt,去Global时序,fc3
videofeedback,Hotshot-XL,500,500,0.7657999999999999,0.7878150060485691,0.7194833903936035,0.002,0.046,0.644,without_gt,去Global时序,fc3
videofeedback,LVDM,276,276,0.8627586116362109,0.8844933902549528,0.821196861864416,0.025362318840579712,0.036231884057971016,0.4166666666666667,without_gt,去Global时序,fc3
videofeedback,LaVie-base,258,258,0.7664803797848687,0.7874189058947759,0.7188193214847789,0.015503875968992248,0.027131782945736434,0.686046511627907,without_gt,去Global时序,fc3
videofeedback,ModelScope,246,246,0.7540402538171723,0.7600189317524016,0.7126141364316246,0.016260162601626018,0.028455284552845527,0.6991869918699187,without_gt,去Global时序,fc3
videofeedback,Pika,132,132,0.8473943985307623,0.8792282317438003,0.819574919864246,0.05303030303030303,0.12121212121212122,0.3712121212121212,without_gt,去Global时序,fc3
videofeedback,SoRA-Clip,290,290,0.7475980975029727,0.7425458991313321,0.7433499636046019,0.09310344827586207,0.10689655172413794,0.7586206896551724,without_gt,去Global时序,fc3
videofeedback,Text2Video-Zero,296,296,0.6720633217677137,0.6959187039287875,0.6215766728034964,0.010135135135135136,0.016891891891891893,0.8209459459459459,without_gt,去Global时序,fc3
videofeedback,VideoCrafter2,232,232,0.8908200802615933,0.9049450318760726,0.8505141331024325,0.01293103448275862,0.07327586206896551,0.30603448275862066,without_gt,去Global时序,fc3
videofeedback,ZeroScope-576w,276,276,0.7207585066162572,0.7567720451095477,0.655537106655278,0.007246376811594203,0.010869565217391304,0.7210144927536232,without_gt,去Global时序,fc3
